name,part_url,price,type,interface,capacity,price_per_gb,color
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/3MQKHx/apricorn-aegis-fortress-l3-20-tb-external-ssd-afl3-s20tb,12154.99,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,0.608,Black
Western Digital My Book Duo,https://pcpartpicker.com/product/2rsV3C/western-digital-my-book-duo-44-tb-external-hard-drive-wdbfbe0440jbk-nesn,17864.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",44000,0.406,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/9xL7YJ/western-digital-elements-1tb-external-hard-drive-wdbuzg0010bbk-wesn,101.99,Portable,USB Type-A 3.2 Gen 1,1000,0.102,
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/JLKnTW/seagate-expansion-amer-28-tb-external-hard-drive-stkp28000400,484.99,Desktop,USB Type-A 3.2 Gen 1,28000,0.017,
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/dYdrxr/western-digital-wd_black-p10-5-tb-external-hard-drive-wdba3a0050bbk-wesn,149,Portable,USB Type-A 3.2 Gen 1,5000,0.03,Black
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/KdP8TW/apricorn-aegis-fortress-l3-4-tb-external-ssd-afl3-s4tb,14599,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,3.65,Black
Apricorn Padlock DT FIPS,https://pcpartpicker.com/product/cPdG3C/apricorn-padlock-dt-fips-22-tb-external-hard-drive-adt-3pl256f-22tb,1047,Desktop,USB Type-A 3.2 Gen 1,22000,0.048,Black
Seagate Portable Drive,https://pcpartpicker.com/product/BrYfrH/seagate-portable-drive-1-tb-external-hard-drive-stgx1000400,69.98,Portable,USB Type-A 3.2 Gen 1,1000,0.07,Black
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/P4m2FT/seagate-expansion-amer-26-tb-external-hard-drive-stkp26000400,,Desktop,USB Type-A 3.2 Gen 1,26000,,
SanDisk Professional PRO-Blade Transport,https://pcpartpicker.com/product/7zdG3C/sandisk-professional-pro-blade-transport-4-tb-external-ssd-sdpm2nb-004t-gband,592.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.148,Black
Seagate Portable Drive,https://pcpartpicker.com/product/TrYfrH/seagate-portable-drive-2-tb-external-hard-drive-stgx2000400,114.32,Portable,USB Type-A 3.2 Gen 1,2000,0.057,Black
Samsung T9 Portable,https://pcpartpicker.com/product/gqWJ7P/samsung-t9-portable-4-tb-external-ssd-mu-pg4t0bam,561.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.14,Black
SanDisk SDSSDT40-8T00-NA25,https://pcpartpicker.com/product/PbP8TW/western-digital-sandisk-desk-drive-8-tb-external-ssd-sdssdt40-8t00-na25,996.99,Desktop,USB Type-C 3.2 Gen 2,8000,0.125,Black
Western Digital My Book Duo,https://pcpartpicker.com/product/hvytt6/western-digital-my-book-duo-36-tb-external-hard-drive-wdbfbe0360jbknesn,1064.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",36000,0.03,Black
Seagate Expansion,https://pcpartpicker.com/product/jXH48d/seagate-external-hard-drive-steb4000100,231.5,Desktop,USB Type-A 3.2 Gen 1,4000,0.058,
Samsung T5 EVO Portable,https://pcpartpicker.com/product/bxNYcf/samsung-t5-evo-portable-8-tb-external-ssd-mu-ph8t0sam,714.99,Portable,USB Type-C 3.2 Gen 1,8000,0.089,Black
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/Mnrp99/corsair-ex400u-survivor-4-tb-external-ssd-cssd-ex400us4tb,497.99,Portable,USB Type-C 4.0 Gen 3x2,4000,0.124,Black
Western Digital My Passport,https://pcpartpicker.com/product/WCfFf7/western-digital-4-tb-external-hard-drive-wdbpkj0040bbk-wesn,134.99,Portable,USB Type-A 3.2 Gen 1,4000,0.034,Black
Seagate Expansion,https://pcpartpicker.com/product/xFcgXL/seagate-expansion-20-tb-external-hard-drive-stkp20000400,363,Desktop,USB Type-A 3.2 Gen 1,20000,0.018,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/dXZWGX/western-digital-elements-26-tb-external-hard-drive-wdbwlg0260hbk-nesn,741.99,Desktop,USB Type-A 3.2 Gen 1,26000,0.029,Black
Samsung T7 Portable,https://pcpartpicker.com/product/VYGnTW/samsung-t7-portable-1-tb-external-ssd-mu-pc1t0tam,177.99,Portable,USB Type-C 3.2 Gen 1,1000,0.178,Black / Silver
Seagate Expansion,https://pcpartpicker.com/product/kcWJ7P/seagate-expansion-24-tb-external-hard-drive-stkp24000400,481.99,Desktop,USB Type-A 3.2 Gen 1,24000,0.02,Black
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/RszXsY/seagate-expansion-1yr-8-tb-external-hard-drive-stkp8000400,182.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.023,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/YpJtt6/western-digital-elements-8tb-external-hard-drive-wdbwlg0080hbk-nesn,250.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.031,Black
Samsung T7 Shield,https://pcpartpicker.com/product/zjhv6h/samsung-t7-shield-4-tb-external-ssd-mu-pe4t0sam,624.99,Portable,USB Type-C 3.2 Gen 2,4000,0.156,Black
Crucial X10 Pro,https://pcpartpicker.com/product/JnyH99/crucial-x10-pro-2-tb-external-ssd-ct2000x10prossd902,283.87,Portable,USB Type-C 3.2 Gen 2x2,2000,0.142,Black
Western Digital My Passport,https://pcpartpicker.com/product/BJsnTW/western-digital-5-tb-external-hard-drive-wdbpkj0050bbk-wesn,156.33,Portable,USB Type-A 3.2 Gen 1,5000,0.031,Black
Western Digital My Passport,https://pcpartpicker.com/product/Vywkcf/western-digital-1-tb-external-hard-drive-wdbyvg0010bbk-wesn,96.95,Portable,USB Type-A 3.2 Gen 1,1000,0.097,Black
Western Digital WD_BLACK D10,https://pcpartpicker.com/product/zRstt6/western-digital-wd_black-d10-8-tb-external-hard-drive-wdba3p0080hbk-nesn,209.99,Desktop,USB Type-A 3.2 Gen 2,8000,0.026,Black
Crucial X10,https://pcpartpicker.com/product/LLdMnQ/crucial-x10-8-tb-external-ssd-ct8-000x10ssd9,890.99,Portable,USB Type-C 3.2 Gen 2x2,8000,0.111,Blue
Apricorn Aegis Padlock DT,https://pcpartpicker.com/product/J2GhP6/apricorn-aegis-padlock-dt-12-tb-external-hard-drive-adt-3pl256-12tb,852.53,Desktop,USB Type-A 3.2 Gen 1,12000,0.071,Black
Apricorn Padlock DT FIPS,https://pcpartpicker.com/product/vgxRsY/apricorn-padlock-dt-fips-18-tb-external-hard-drive-adt3pl256f18tb,960.29,Desktop,USB Type-A 3.2 Gen 1,18000,0.053,Black
Apricorn Aegis Padlock,https://pcpartpicker.com/product/3LkwrH/apricom-external-hard-drive-a253pl256s128,535,Portable,USB Type-A 3.2 Gen 1,128,4.18,
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/dky8TW/seagate-expansion-amer-22-tb-external-hard-drive-stkp22000400,372.99,Desktop,USB Type-A 3.2 Gen 1,22000,0.017,
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/Pf2WGX/sandisk-extreme-portable-v2-2-tb-external-ssd-sdssde61-2t00-g25,362.99,Portable,USB Type-C 3.2 Gen 1,2000,0.181,Black / Orange
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/G39nTW/corsair-ex400u-survivor-2-tb-external-ssd-cssd-ex400us2tb,336.99,Portable,USB Type-C 4.0 Gen 3x2,2000,0.168,Black
Seagate Portable Drive,https://pcpartpicker.com/product/Z2bypg/seagate-portable-drive-4-tb-external-hard-drive-stgx4000400,129.97,Portable,USB Type-A 3.2 Gen 1,4000,0.032,Black
Corsair EX400U,https://pcpartpicker.com/product/Mhtkcf/corsair-ex400u-4-tb-external-ssd-cssd-ex400u4tb,459.99,Portable,USB Type-C 4.0 Gen 3x2,4000,0.115,Black
Seagate Expansion,https://pcpartpicker.com/product/4zQRsY/seagate-expansion-8tb-external-hard-drive-steb8000100,254,Desktop,USB Type-A 3.2 Gen 1,8000,0.032,
Western Digital ELEMENTS,https://pcpartpicker.com/product/Vy9tt6/western-digital-elements-14-tb-external-hard-drive-wdbwlg0140hbk-nesn,372.99,Desktop,USB Type-A 3.2 Gen 2,14000,0.027,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/hy9nTW/western-digital-elements-16-tb-external-hard-drive-wdbwlg0160hbk-nesn,329.99,Desktop,USB Type-A 3.2 Gen 1,16000,0.021,Black
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/JwC48d/sandisk-extreme-portable-v2-4-tb-external-ssd-sdssde61-4t00-g25,450.99,Portable,USB Type-C 3.2 Gen 1,4000,0.113,Black / Orange
Samsung T7 Portable,https://pcpartpicker.com/product/m8BhP6/samsung-t7-portable-2-tb-external-ssd-mu-pc2t0tam,259.99,Portable,USB Type-C 3.2 Gen 1,2000,0.13,Black / Silver
Seagate Portable Drive,https://pcpartpicker.com/product/YWBFf7/seagate-portable-drive-5-tb-external-hard-drive-stgx5000400,149,Portable,USB Type-A 3.2 Gen 1,5000,0.03,Black
Western Digital My Book,https://pcpartpicker.com/product/GJyV3C/western-digital-my-book-8tb-external-hard-drive-wdbbgb0080hbk-nesn,273.98,Desktop,USB Type-A 3.2 Gen 1,8000,0.034,Black
Apricorn NVX,https://pcpartpicker.com/product/7gyH99/apricorn-nvx-2-tb-external-ssd-anvx-2tb,639.79,Portable,USB Type-C 3.2 Gen 2,2000,0.32,Black
Western Digital My Passport,https://pcpartpicker.com/product/ksyqqs/western-digital-2-tb-external-hard-drive-wdbyvg0020bbk-wesn,105.99,Portable,USB Type-A 3.2 Gen 1,2000,0.053,Black
