name,part_url,price,style,switches,backlit,tenkeyless,connection_type,color
Logitech G19,https://pcpartpicker.com/product/hmsKHx/logitech-g19-wired-standard-keyboard-920-000969,852.99,Standard,,Multicolor,false,Wired,Black
HP HyperX Alloy Core,https://pcpartpicker.com/product/BvL48d/hp-hyperx-alloy-core-rgb-wired-gaming-keyboard-hx-kb5me2-us,38.99,Gaming,,RGB,false,Wired,Black
Logitech K120,https://pcpartpicker.com/product/MwsKHx/logitech-keyboard-920002478,11.99,Standard,,,false,Wired,Black
RK Royal Kludge RK61,https://pcpartpicker.com/product/6yQKHx/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-093348322,39.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",White
Redragon K552,https://pcpartpicker.com/product/VhkwrH/redragon-keyboard-k552,39.07,Gaming,Outemu Blue,Red,true,Wired,Black
Razer Huntsman Mini,https://pcpartpicker.com/product/vGgQzy/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390300-r3m1,114.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,White
SteelSeries Apex 3 TKL RGB,https://pcpartpicker.com/product/zZ3gXL/steelseries-apex-3-tkl-rgb-wired-gaming-keyboard-12167,32.99,Gaming,,RGB,true,Wired,Black
Asus ROG Azoth Extreme,https://pcpartpicker.com/product/bkCZxr/asus-rog-azoth-extreme-rgb-bluetoothwirelesswired-gaming-keyboard-m702-azoth-extremenxsw,349.99,Gaming,ROG NX Snow,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman V3 Pro,https://pcpartpicker.com/product/WDTZxr/razer-huntsman-v3-pro-rgb-wired-gaming-keyboard-rz03-04980200-r3u1,147.99,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
SteelSeries Apex Pro TKL (2023),https://pcpartpicker.com/product/RKMMnQ/steelseries-apex-pro-tkl-2023-rgb-wiredbluetoothwireless-gaming-keyboard-64868,416.86,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
RK Royal Kludge RK61,https://pcpartpicker.com/product/khNYcf/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-338395023,46.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",Black
SMK-Link VP3800,https://pcpartpicker.com/product/GykwrH/smk-link-keyboard-vp3800,9.99,Standard,,,false,Wired,Black
Asus ROG Strix Scope II 96,https://pcpartpicker.com/product/GFP8TW/asus-rog-strix-scope-ii-96-rgb-wirelessbluetoothwired-gaming-keyboard-90mp037a-bkaa01,119.99,Gaming,ROG NX Snow,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G413 SE,https://pcpartpicker.com/product/r3Gbt6/logitech-g413-se-wired-gaming-keyboard-920-010442,87.98,Gaming,Kailh LT Brown,White,true,Wired,Black
Redragon K582 SURARA,https://pcpartpicker.com/product/m9MwrH/redragon-k582-surara-wired-gaming-keyboard-k582,32.99,Gaming,Outemu Red,RGB,false,Wired,Black
Razer BlackWidow V4 Pro,https://pcpartpicker.com/product/9w3NnQ/razer-blackwidow-v4-pro-rgb-wired-gaming-keyboard-rz03-04681900-r3u1,199.99,Gaming,Razer Green,RGB,false,Wired,Black
Logitech PRO X,https://pcpartpicker.com/product/BKNYcf/logitech-pro-x-rgb-bluetoothwirelesswired-gaming-keyboard-920-012143,199,Gaming,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Wooting Two HE,https://pcpartpicker.com/product/Hsnypg/wooting-two-he-rgb-wired-gaming-keyboard-wk2-iso-l60-001,,Gaming,Lekker linear60,RGB,false,Wired,Black
Logitech G915 X LIGHTSPEED,https://pcpartpicker.com/product/f6TZxr/logitech-g915-x-lightspeed-rgb-wiredwirelessbluetooth-gaming-keyboard-920-012670,246,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K65 PLUS,https://pcpartpicker.com/product/YJWJ7P/corsair-k65-plus-rgb-wiredwireless-gaming-keyboard-ch-91d401l-na,139.99,Gaming,Corsair MLX Red Linear,RGB,true,"Wired, Wireless",Black
Corsair K70 RGB PRO,https://pcpartpicker.com/product/sFrRsY/corsair-k70-rgb-pro-wired-gaming-keyboard-ch-9109414-na,103.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Logitech G PRO,https://pcpartpicker.com/product/b6xbt6/logitech-g-pro-wired-gaming-keyboard-920-009388,105.49,Gaming,GX Blue,RGB,true,Wired,Black
Corsair K83,https://pcpartpicker.com/product/rwRzK8/corsair-k83-wireless-standard-keyboard-ch-9268046-na,,Standard,,White,true,Wireless,Gray
Corsair K70 RGB PRO,https://pcpartpicker.com/product/ctBG3C/corsair-k70-rgb-pro-wired-gaming-keyboard-ch-9109410-na,,Gaming,Cherry MX Red,RGB,false,Wired,Black
SteelSeries Apex Pro Gen 3,https://pcpartpicker.com/product/q8QwrH/steelseries-apex-pro-gen-3-rgb-wiredwirelessbluetooth-gaming-keyboard-64871,313.82,Gaming,OmniPoint 3.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman Mini,https://pcpartpicker.com/product/X77p99/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390200-r3m1,111.55,Mini,Razer Red Optical Linear,RGB,true,Wired,Black
Corsair K55 RGB PRO,https://pcpartpicker.com/product/jqpzK8/corsair-k55-rgb-pro-wired-gaming-keyboard-ch-9226765-na,62.99,Gaming,,Multicolor,false,Wired,Black
