name,part_url,price,capacity_w,capacity_va
APC SURT20KRMXLT,https://pcpartpicker.com/product/fzM323/apc-surt20krmxlt-ups-surt20krmxlt,146110.99,16000,20000
CyberPower CP1500PFCLCD,https://pcpartpicker.com/product/qvVBD3/cyberpower-cp1500pfclcd-ups-cp1500pfclcd,239.95,1000,1500
APC SRT10KXLT,https://pcpartpicker.com/product/w4Crxr/apc-ups-srt10kxlt,49624.06,10000,10000
CyberPower CP1500AVRLCD,https://pcpartpicker.com/product/69Wrxr/cyberpower-ups-cp1500avrlcd,203.95,900,1500
APC Back-UPS 1500,https://pcpartpicker.com/product/KHMwrH/apc-back-ups-1500-ups-bx1500m,234.99,900,1500
CyberPower PR3000LCDSL,https://pcpartpicker.com/product/D9Wrxr/cyberpower-ups-pr3000lcdsl,12292.95,2700,3000
APC Back-UPS Pro 1500S,https://pcpartpicker.com/product/Yf92FT/apc-back-ups-pro-1500s-ups-br1500ms2,299.99,900,1500
APC SRT10KXLI,https://pcpartpicker.com/product/MWX2FT/apc-ups-srt10kxli,,10000,10000
CyberPower ST425,https://pcpartpicker.com/product/LZGnTW/cyberpower-st425-ups-st425,72.95,260,425
APC SRT10KRMXLI,https://pcpartpicker.com/product/CRGj4D/apc-ups-srt10krmxli,129600,10000,10000
APC Back-UPS Pro 1500VA,https://pcpartpicker.com/product/gXjBD3/apc-back-ups-pro-1500va-ups-bn1500m2,228.99,900,1500
CyberPower CST135XLU,https://pcpartpicker.com/product/zZTZxr/cyberpower-cst135xlu-ups-cst135xlu,134.99,810,1350
CyberPower PR2200LCDSL,https://pcpartpicker.com/product/Nd648d/cyberpower-ups-pr2200lcdsl,936.11,1980,2070
CyberPower CP1000PFCLCD,https://pcpartpicker.com/product/thqbt6/cyberpower-ups-cp1000pfclcd,179.95,600,1000
CyberPower PR1500LCD,https://pcpartpicker.com/product/zQVBD3/cyberpower-ups-pr1500lcd,700.95,1050,1500
APC SRT8KRMXLI,https://pcpartpicker.com/product/pPs8TW/apc-ups-srt8krmxli,,8000,8000
APC Back-UPS Pro 700VA,https://pcpartpicker.com/product/zxYWGX/apc-back-ups-pro-700va-ups-br700g,162.49,420,700
Tripp Lite SMX1500XLRT2U,https://pcpartpicker.com/product/2KZ2FT/tripp-lite-ups-smx1500xlrt2u,532,1350,1500
CyberPower UT850EG,https://pcpartpicker.com/product/s9KnTW/cyberpower-ut850eg-ups-ut850eg,,425,850
APC Back-UPS Pro 1500VA for Gaming,https://pcpartpicker.com/product/6DRYcf/apc-back-ups-pro-1500va-for-gaming-ups-bgm1500b,,900,1500
CyberPower CP1500AVRLCD3,https://pcpartpicker.com/product/GRjBD3/cyberpower-cp1500avrlcd3-ups-cp1500avrlcd3,199.95,900,1500
APC Back-UPS Pro 1500,https://pcpartpicker.com/product/ksJkcf/apc-back-ups-pro-1500-ups-br1500g,384.99,865,1500
CyberPower AVRG750U,https://pcpartpicker.com/product/HHNypg/cyberpower-ups-avrg750u,119.95,450,750
PowerWalker Basic VI 2200 STL UK,https://pcpartpicker.com/product/rY26Mp/powerwalker-basic-vi-2200-stl-uk-ups-10121089,,1320,2200
CyberPower PR3000LCD,https://pcpartpicker.com/product/G9Wrxr/cyberpower-ups-pr3000lcd,24948.95,2700,3000
VERTIV Liebert PST5,https://pcpartpicker.com/product/ZrwD4D/vertiv-liebert-pst5-ups-pst5-850mt120,214.99,500,850
APC Back-UPS Pro 1000S,https://pcpartpicker.com/product/nCPgXL/apc-back-ups-pro-1000s-ups-br1000ms,212.26,600,1000
APC Back-UPS Pro 1500VA for Gaming,https://pcpartpicker.com/product/WtD7YJ/apc-back-ups-pro-1500va-for-gaming-ups-bgm1500,,900,1500
Tripp Lite SU12000RT4U,https://pcpartpicker.com/product/KCyxFT/tripp-lite-ups-su12000rt4u,,8400,12000
APC BE600M1,https://pcpartpicker.com/product/FLLFf7/apc-be600m1-ups-be600m1,90.99,330,600
APC BR1500GI,https://pcpartpicker.com/product/N7hj4D/apc-ups-br1500gi,601.99,865,1500
CyberPower PFC Sinewave CP1500PFCRM2U,https://pcpartpicker.com/product/Bp3WGX/cyberpower-pfc-sinewave-cp1500pfcrm2u-ups-cp1500pfcrm2u,359.95,1000,1500
APC SRT10KRMXLT,https://pcpartpicker.com/product/DRGj4D/apc-ups-srt10krmxlt,5316.31,10000,10000
APC SUA5000RMI5U,https://pcpartpicker.com/product/8BPzK8/apc-ups-sua5000rmi5u,105081.99,4000,5000
CyberPower CP550SLG,https://pcpartpicker.com/product/tzM323/cyberpower-ups-cp550slg,83.95,330,550
Trust Paxxon,https://pcpartpicker.com/product/tbh2FT/trust-paxxon-ups-23505,,900,1500
APC BE550G,https://pcpartpicker.com/product/KRGj4D/apc-ups-be550g,113.11,330,550
APC SRT5KXLI,https://pcpartpicker.com/product/s3FXsY/apc-ups-srt5kxli,128620.99,4500,5000
CyberPower EC850LCD,https://pcpartpicker.com/product/kYrcCJ/cyberpower-ups-ec850lcd,124.95,510,850
APC SMX1500RMI2UNC,https://pcpartpicker.com/product/Lm8H99/apc-ups-smx1500rmi2unc,25964.13,1200,1500
APC SMT2200I,https://pcpartpicker.com/product/zVYWGX/apc-ups-smt2200i,,1980,2200
CyberPower OR2200LCDRT2U,https://pcpartpicker.com/product/hf8H99/cyberpower-ups-or2200lcdrt2u,795.95,1320,2000
VERTIV Liebert PST5,https://pcpartpicker.com/product/fkbypg/vertiv-liebert-pst5-ups-pst5-350mt120,72.15,200,350
CyberPower OR2200LCDRTXL2U,https://pcpartpicker.com/product/HccMnQ/cyberpower-ups-or2200lcdrtxl2u,1048.95,1650,2190
VERTIV Liebert PST5,https://pcpartpicker.com/product/4GdMnQ/vertiv-liebert-pst5-ups-pst5-500mt120,83.37,300,500
