name,part_url,rpm,color,size,manufacturer,part_number,height,supported_sockets,water_cooled_size,is_water_cooled
Thermalright Peerless Assassin 120 SE,https://pcpartpicker.com/product/hYxRsY/thermalright-peerless-assassin-120-se-6617-cfm-cpu-cooler-pa120-se-d3,1550,Black / Silver,,Thermalright,PA120 SE-D3|PA120 SE|PA120 SE D6-CAD|PA120 SE 1700|PA120 SE 1700-d6|419043,155.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
ARCTIC Liquid Freezer III Pro 360,https://pcpartpicker.com/product/v2kqqs/arctic-liquid-freezer-iii-pro-360-77-cfm-liquid-cpu-cooler-acfre00180a,"600,3000",Black,360.0,ARCTIC,ACFRE00180A,68.0,AM4|AM5|LGA1700|LGA1851,360.0,True
Cooler Master Hyper 212 Black Edition,https://pcpartpicker.com/product/HyTPxr/cooler-master-hyper-212-black-edition-42-cfm-cpu-cooler-rr-212s-20pk-r1,"650,2000",Black,,Cooler Master,RR-212S-20PK-R1,159.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
Thermalright Aqua Elite V3,https://pcpartpicker.com/product/ZQBzK8/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-black-v3,1500,Black,360.0,Thermalright,Aqua Elite 360 Black V3|AQUA ELITE 360 V3|Aqua Elite 360 Black Argb V3|814256016346,,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
Corsair NAUTILUS 360 RS ARGB,https://pcpartpicker.com/product/DhsV3C/corsair-nautilus-360-rs-argb-7437-cfm-liquid-cpu-cooler-cw-9060093-ww,2100,Black,360.0,Corsair,CW-9060093-WW,,AM4|AM5|LGA1700|LGA1851,360.0,True
ARCTIC Liquid Freezer III Pro A-RGB 360,https://pcpartpicker.com/product/Xh9nTW/arctic-liquid-freezer-iii-pro-a-rgb-360-77-cfm-liquid-cpu-cooler-acfre00184a,"600,3000",Black,360.0,ARCTIC,ACFRE00184A,68.0,AM4|AM5|LGA1700|LGA1851,360.0,True
Thermalright Phantom Spirit 120 SE ARGB,https://pcpartpicker.com/product/MzMMnQ/thermalright-phantom-spirit-120-se-argb-6617-cfm-cpu-cooler-ps120se-argb,1500,Black / Silver,,Thermalright,PS120SE ARGB|PS120 SE ARGB D6-CAD|Phantom Spirit 120 SE ARGB,154.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Thermalright Assassin X 120 Refined SE,https://pcpartpicker.com/product/q6H7YJ/thermalright-assassin-x-120-refined-se-6617-cfm-cpu-cooler-ax120-se-d3,1550,Black / Silver,,Thermalright,AX120 SE-D3|AX120 Refined SE,148.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Noctua NH-D15 chromax.black,https://pcpartpicker.com/product/84MTwP/noctua-nh-d15-chromaxblack-8252-cfm-cpu-cooler-nh-d15-chromaxblack,"300,1500",Black,,Noctua,NH-D15 CHROMAX.BLACK|NH-D15 CH.BK|NH-D15-CH-BK,165.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
ARCTIC Liquid Freezer III Pro A-RGB 360,https://pcpartpicker.com/product/hYXMnQ/arctic-liquid-freezer-iii-pro-a-rgb-360-77-cfm-liquid-cpu-cooler-acfre00188a,"600,3000",White,360.0,ARCTIC,ACFRE00188A,68.0,AM4|AM5|LGA1700|LGA1851,360.0,True
