name,part_url,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio,manufacturer,part_number,input_hdmi,input_mini_hdmi,input_micro_hdmi,input_dp,input_mini_dp,input_dvi,input_vga,input_usb_c,input_bnc,input_component,input_s_video,input_virtual_link
MSI MAG 275QF,https://pcpartpicker.com/product/4gGhP6/msi-mag-275qf-270-2560-x-1440-180-hz-monitor-mag-275qf,27.0,"2560,1440",180.0,0.5,IPS,16:9,MSI,MAG 275QF,2,0,0,1,0,0,0,0,0,0,0,0
Dell UP3218K,https://pcpartpicker.com/product/ZxBrxr/dell-up3218k-315-7680-x-4320-60-hz-monitor-up3218k,31.5,"7680,4320",60.0,6.0,IPS,16:9,Dell,UP3218K|DELL-UP3218K|210-ALEZ|095P9,0,0,0,2,0,0,0,0,0,0,0,0
KOORUI 24E3,https://pcpartpicker.com/product/DqQKHx/koorui-24e3-240-1920-x-1080-165-hz-monitor-24e3,24.0,"1920,1080",165.0,1.0,IPS,16:9,KOORUI,24E3,1,0,0,1,0,0,0,0,0,0,0,0
Asus ROG Swift OLED PG32UCDM,https://pcpartpicker.com/product/TGYRsY/asus-rog-swift-oled-pg32ucdm-315-3840-x-2160-240-hz-monitor-pg32ucdm,31.5,"3840,2160",240.0,0.03,QD-OLED,16:9,Asus,PG32UCDM|90LM09T0-B013B0|90LM09T0-B01370,2,0,0,1,0,0,0,1,0,0,0,0
MSI PRO MP225V,https://pcpartpicker.com/product/Ltkqqs/msi-pro-mp225v-214-1920-x-1080-100-hz-monitor-pro-mp225v,21.4,"1920,1080",100.0,4.0,VA,16:9,MSI,PRO MP225V,1,0,0,0,0,0,1,0,0,0,0,0
Asus TUF Gaming VG27AQ,https://pcpartpicker.com/product/pGqBD3/asus-tuf-gaming-vg27aq-270-2560x1440-165-hz-monitor-vg27aq,27.0,"2560,1440",165.0,1.0,IPS,16:9,Asus,VG27AQ|90LM0500-B01370|90LM0500-B03370,2,0,0,1,0,0,0,0,0,0,0,0
Asus ROG Swift PG32UQX,https://pcpartpicker.com/product/sTYmP6/asus-rog-swift-pg32uqx-320-3840x2160-144-hz-monitor-rog-swift-pg32uqx,32.0,"3840,2160",144.0,4.0,IPS,16:9,Asus,ROG Swift PG32UQX|90LM05R0-B013B0|PG32UQX|90LM05R0-B01370,3,0,0,1,0,0,0,0,0,0,0,0
Samsung Odyssey Neo G95NC,https://pcpartpicker.com/product/3Rqrxr/samsung-odyssey-neo-g95nc-570-7680-x-2160-240-hz-curved-monitor-ls57cg952nnxza,57.0,"7680,2160",240.0,1.0,VA,32:9,Samsung,LS57CG952NNXZA|LS57CG954NUXEN|LS57CG952NUXEN,3,0,0,1,0,0,0,0,0,0,0,0
MSI MAG 244F,https://pcpartpicker.com/product/T8Pv6h/msi-mag-244f-238-1920-x-1080-200-hz-monitor-mag-244f,23.8,"1920,1080",200.0,0.5,IPS,16:9,MSI,MAG 244F|9S6-3BC41H-001,1,0,0,1,0,0,0,0,0,0,0,0
AOC Agon PRO AG276QZD2,https://pcpartpicker.com/product/7LzXsY/aoc-agon-pro-ag276qzd2-267-2560-x-1440-240-hz-monitor-ag276qzd2,26.7,"2560,1440",240.0,0.03,QD-OLED,16:9,AOC,AG276QZD2,2,0,0,1,0,0,0,0,0,0,0,0
Asus ROG Swift OLED PG27AQDP,https://pcpartpicker.com/product/xY4Zxr/asus-rog-swift-oled-pg27aqdp-265-2560-x-1440-480-hz-monitor-90lm0a20-b01ab0,26.5,"2560,1440",480.0,0.03,OLED,16:9,Asus,90LM0A20-B01AB0|PG27AQDP|90LM0A20-B01A70|ROG-SWIFT-OLED-PG27AQDP,2,0,0,1,0,0,0,0,0,0,0,0
Acer Acer Nitro XV272U W2bmiiprx,https://pcpartpicker.com/product/Lv4Zxr/acer-acer-nitro-xv272u-w2bmiiprx-270-2560-x-1440-240-hz-monitor-umhx2aa201,27.0,"2560,1440",240.0,1.0,IPS,16:9,Acer,UM.HX2AA.201,2,0,0,1,0,0,0,0,0,0,0,0
