name,part_url,bd,dvd,cd,manufacturer,part_number,form_factor,interface
Lite-On iHAS124-14,https://pcpartpicker.com/product/6fJwrH/lite-on-optical-drive-ihas12414,,16.0,48.0,Lite-On,iHAS124-14,5.25,SATA 3.0 Gb/s
LG BH16NS40,https://pcpartpicker.com/product/WXK7YJ/lg-bh16ns40-blu-raydvdcd-writer-bh16ns40,12.0,16.0,48.0,LG,BH16NS40,5.25,SATA 1.5 Gb/s
LG WH14NS40,https://pcpartpicker.com/product/z2dqqs/lg-optical-drive-wh14ns40,12.0,16.0,48.0,LG,WH14NS40,5.25,SATA 1.5 Gb/s
Asus BW-16D1HT,https://pcpartpicker.com/product/qHdqqs/asus-optical-drive-bw16d1ht,12.0,16.0,48.0,Asus,BW-16D1HT,5.25,SATA 3.0 Gb/s
LG GH24NSD5,https://pcpartpicker.com/product/tDrmP6/lg-gh24nsd5-dvdcd-writer-gh24nsd5,,16.0,48.0,LG,GH24NSD5|GH24NSD5.ARAA10B,5.25,SATA 6.0 Gb/s
Asus DRW-24B1ST/BLK/B/AS,https://pcpartpicker.com/product/2v9KHx/asus-optical-drive-drw24b1stblkbas,,16.0,48.0,Asus,DRW-24B1ST/BLK/B/AS|DRW-24B1ST,5.25,SATA 3.0 Gb/s
Pioneer BDR-212DBK,https://pcpartpicker.com/product/cX6qqs/pioneer-bdr-212dbk-blu-raydvdcd-writer-bdr-212dbk,,,,Pioneer,BDR-212DBK,5.25,SATA 6.0 Gb/s
Asus DRW-24D5MT,https://pcpartpicker.com/product/wh38TW/asus-drw-24d5mt-dvdcd-writer-drw-24d5mt,,16.0,48.0,Asus,DRW-24D5MT|90DD01Y0-B10010|90DD01Y0-B20010,5.25,SATA 3.0 Gb/s
LG BU40N,https://pcpartpicker.com/product/WCmNnQ/lg-bu40n-blu-raydvdcd-writer-bu40n,,,,LG,BU40N,5.25 Slim,SATA 6.0 Gb/s
Asus BW-14D1XT,https://pcpartpicker.com/product/Xhbp99/asus-optical-drive-bw14d1xt,12.0,16.0,48.0,Asus,BW-14D1XT,5.25,SATA 3.0 Gb/s
LG WH16NS40,https://pcpartpicker.com/product/QZ6BD3/lg-optical-drive-wh16ns40,12.0,16.0,48.0,LG,WH16NS40,5.25,SATA 3.0 Gb/s
Asus DRW-24F1ST,https://pcpartpicker.com/product/wT2kcf/asus-optical-drive-drw24f1st,,16.0,48.0,Asus,DRW-24F1ST,5.25,SATA 3.0 Gb/s
