name,part_url,type,efficiency,wattage,modular,color,manufacturer,part_number,length,atx_4_pin_connectors,eps_8_pin_connectors,pcie_16_pin_12vhpwr_12v_2x6_connectors,pcie_12_pin_connectors,pcie_8_pin_connectors,pcie_6_2_pin_connectors,pcie_6_pin_connectors,sata_connectors,amp_molex_4_pin_connectors
MSI MAG A750GL PCIE5,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5,ATX,gold,750,Full,Black,MSI,MAG A750GL PCIE5|306-7ZP8B11-CE0,140.0,0,2,1,0,0,3,0,8,4
MSI MAG A850GL PCIE5,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5,ATX,gold,850,Full,Black,MSI,MAG A850GL PCIE5|306-7ZP8A11-CE0|306-7ZP8A15-CE0,140.0,0,2,1,0,0,4,0,8,4
MSI MAG A650BN,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn,ATX,bronze,650,false,Black,MSI,MAG A650BN|306-7ZP2B11-CE0,140.0,0,1,0,0,0,2,0,5,2
Corsair RM850e (2025),https://pcpartpicker.com/product/zBbypg/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020296-na,ATX,,850,Full,Black,Corsair,CP-9020296-NA|CP-9020296-AU|CP-9020296-UK|CP-9020296-EU,140.0,0,2,1,0,0,3,0,6,2
Corsair SF1000 (2024),https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257,SFX,platinum,1000,Full,Black,Corsair,CP-9020257|CP-9020257-AU|CP-9020257-NA|CP-9020257-EU|CP-9020257-UK,100.0,0,2,1,0,0,4,0,8,3
Montech CENTURY II,https://pcpartpicker.com/product/sqbypg/montech-century-ii-850-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-850w,ATX,gold,850,Full,Black,Montech,CENTURY II 850W,140.0,0,2,1,0,0,4,0,8,4
Corsair RM1000x (2024),https://pcpartpicker.com/product/XZsV3C/corsair-rm1000x-2024-1000-w-fully-modular-atx-power-supply-cp-9020271-na,ATX,,1000,Full,Black,Corsair,CP-9020271-NA|CP-9020271-EU|CP-9020271-AU|CP-9020271-UK,160.0,0,2,1,0,0,4,0,12,6
MSI MAG A550BN,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn,ATX,bronze,550,false,Black,MSI,MAG A550BN|306-7ZP2A11-CE0,140.0,0,1,0,0,0,2,0,5,2
Thermaltake Smart,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500-w-80-certified-atx-power-supply-ps-spd-0500npcwus-w,ATX,plus,500,false,,Thermaltake,PS-SPD-0500NPCWUS-W,140.0,0,1,0,0,0,2,0,5,6
Corsair RM850x (2024),https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na,ATX,,850,Full,Black,Corsair,CP-9020270-NA|CP-9020270-EU|CP-9020270-AU|CP-9020270-UK,160.0,0,2,1,0,0,3,0,8,3
Corsair RM750e (2025),https://pcpartpicker.com/product/jfHp99/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020295-na,ATX,,750,Full,Black,Corsair,CP-9020295-NA|CP-9020295-EU|CP-9020295-UK|CP-9020295-AU,140.0,0,2,1,0,0,3,0,6,2
Corsair CX750M (2021),https://pcpartpicker.com/product/JkKKHx/corsair-cx750m-2021-750-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020222-na,ATX,bronze,750,Semi,Black,Corsair,CP-9020222-NA|CP-9020222-UK|CP-9020222-EU|CP-9020222-AU,140.0,0,2,0,0,0,4,0,8,4
MSI MAG A850GL PCIE5,https://pcpartpicker.com/product/LPBzK8/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5-white,ATX,gold,850,Full,White,MSI,MAG A850GL PCIE5 WHITE|306-7ZP8A24-CE0,140.0,0,2,1,0,0,4,0,8,4
Asus ROG THOR 1600T Gaming,https://pcpartpicker.com/product/7m6p99/asus-rog-thor-1600t-gaming-1600-w-80-titanium-certified-fully-modular-atx-power-supply-90ye00k0-b0na00,ATX,titanium,1600,Full,Silver / Black,Asus,90YE00K0-B0NA00|ROG-THOR-1600T-GAMING,190.0,0,2,1,0,0,10,0,12,6
