name,part_url,interface,color,manufacturer,part_number
StarTech ST10GPEXNDPI,https://pcpartpicker.com/product/tqJgXL/startech-st10gpexndpi-2-x-10-gbs-ethernet-pcie-x4-network-adapter-st10gpexndpi,PCIe x4,Black / Silver,StarTech,ST10GPEXNDPI
TP-Link TG-3468,https://pcpartpicker.com/product/dQmLrH/tp-link-wired-network-card-tg3468,PCIe x1,,TP-Link,TG-3468
Asus XG-C100C,https://pcpartpicker.com/product/7z4NnQ/asus-xg-c100c-network-adapter-xg-c100c,PCIe x4,,Asus,XG-C100C|90IG0440-MO0R00|90IG0760-MO0B00
Intel X540-T2,https://pcpartpicker.com/product/BRkwrH/intel-x540-t2-2-x-10-gbs-ethernet-pcie-x8-network-adapter-x540t2,PCIe x8,,Intel,X540T2|AXX10GBTWLIOM3
TP-Link TX201,https://pcpartpicker.com/product/y93gXL/tp-link-tx201-25-gbs-ethernet-pcie-x1-network-adapter-tx201,PCIe x1,Black / Gold,TP-Link,TX201
Intel X550-T2,https://pcpartpicker.com/product/cpndnQ/intel-x550-t2-network-adapter-x550-t2,PCIe x4,,Intel,X550-T2
TP-Link TX401,https://pcpartpicker.com/product/wzmFf7/tp-link-tx401-10-gbs-ethernet-pcie-x4-network-adapter-tx401,PCIe x4,Red,TP-Link,TX401
D-Link DXE-820T,https://pcpartpicker.com/product/LmgPxr/d-link-dxe-820t-network-adapter-dxe-820t,PCIe x8,,D-Link,DXE-820T
TP-Link UE306,https://pcpartpicker.com/product/bGH7YJ/tp-link-ue306-gigabit-ethernet-usb-type-a-network-adapter-ue306,USB Type-A 3.2 Gen 1,Black,TP-Link,UE306
Intel X710-T2L,https://pcpartpicker.com/product/FFH8TW/intel-x710-t2l-2-x-10-gbs-ethernet-pcie-x8-network-adapter-x710t2l,PCIe x8,Green / Black,Intel,X710T2L
StarTech ST10GSPEXNDP,https://pcpartpicker.com/product/9ttKHx/startech-st10gspexndp-2-x-10-gbs-ethernet-pcie-x8-network-adapter-st10gspexndp,PCIe x8,Black / Silver,StarTech,ST10GSPEXNDP
Intel EXPI9301CTBLK,https://pcpartpicker.com/product/xsdqqs/intel-wired-network-card-expi9301ctblk,PCIe x1,,Intel,EXPI9301CTBLK
Gigabyte GC-AQC107,https://pcpartpicker.com/product/QHx2FT/gigabyte-gc-aqc107-network-adapter-gc-aqc107,PCIe x4,Black / White,Gigabyte,GC-AQC107
Syba SD-PEX24066,https://pcpartpicker.com/product/ZYcG3C/syba-sd-pex24066-2-x-25-gbs-ethernet-pcie-x1-network-adapter-sd-pex24066,PCIe x1,Green / Black,Syba,SD-PEX24066
StarTech ST10GSPEXNB2,https://pcpartpicker.com/product/PtcG3C/startech-st10gspexnb2-10-gbs-ethernet-pcie-x2-network-adapter-st10gspexnb2,PCIe x2,Silver / Black,StarTech,ST10GSPEXNB2
Intel X540T1,https://pcpartpicker.com/product/Xy6BD3/intel-x540t1-10-gbs-ethernet-pcie-x8-network-adapter-x540t1,PCIe x8,Black / Green,Intel,X540T1
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,https://pcpartpicker.com/product/bBCD4D/trendnet-trendnet-teg-10gectx-10-gigabit-pcie-network-adapter-pcie-x4-10-gbits-network-adapter-teg-10gectx,PCIe x4,Green / Silver,TRENDnet,TEG-10GECTX
Intel E1G42ETBLK,https://pcpartpicker.com/product/2mXfrH/intel-wired-network-card-e1g42etblk,PCIe x4,,Intel,E1G42ETBLK
Asus USB-C2500,https://pcpartpicker.com/product/BXQcCJ/asus-usb-c2500-25-gbs-ethernet-usb-type-a-network-adapter-usb-c2500,USB Type-A 3.2 Gen 1,Gray,Asus,USB-C2500|90IG0650-MO0R0T
Syba SD-PEX24055,https://pcpartpicker.com/product/bXDJ7P/syba-sd-pex24055-pcie-x4-10-gbits-network-adapter-sd-pex24055,PCIe x4,Green / Black,Syba,SD-PEX24055
StarTech ST10GSPEXNDP2,https://pcpartpicker.com/product/JvH7YJ/startech-st10gspexndp2-2-x-10-gbs-ethernet-pcie-x4-network-adapter-st10gspexndp2,PCIe x4,Black / Silver,StarTech,ST10GSPEXNDP2
Intel I226T1,https://pcpartpicker.com/product/xKGhP6/intel-i226t1-25-gbs-ethernet-pcie-x1-network-adapter-i226t1,PCIe x1,Green,Intel,I226T1
Intel E1G44ET2BLK,https://pcpartpicker.com/product/VwLypg/intel-wired-network-card-e1g44et2blk,PCIe x4,,Intel,E1G44ET2BLK
TRENDnet TEG-25GECTX,https://pcpartpicker.com/product/xxfnTW/trendnet-teg-25gectx-25-gbs-ethernet-pcie-x1-network-adapter-teg-25gectx,PCIe x1,Blue,TRENDnet,TEG-25GECTX
QNAP QXG5G1T111C,https://pcpartpicker.com/product/Kgytt6/qnap-qxg5g1t111c-5-gbs-ethernet-pcie-x1-network-adapter-qxg5g1t111c,PCIe x1,Blue / Silver,QNAP,QXG5G1T111C
QNAP QXG-10G1T,https://pcpartpicker.com/product/n3ndnQ/qnap-qxg-10g1t-network-adapter-qxg-10g1t,PCIe x4,,QNAP,QXG-10G1T
StarTech ST2GPEX,https://pcpartpicker.com/product/mGjNnQ/startech-st2gpex-25-gbs-ethernet-pcie-x1-network-adapter-st2gpex,PCIe x1,Black,StarTech,ST2GPEX
QNAP QXG2G2TI225,https://pcpartpicker.com/product/LW92FT/qnap-qxg2g2ti225-2-x-25-gbs-ethernet-pcie-x2-network-adapter-qxg2g2ti225,PCIe x2,Green / Copper,QNAP,QXG2G2TI225
Syba SY-PEX24045,https://pcpartpicker.com/product/WD97YJ/syba-sy-pex24045-pcie-x4-1000-mbits-network-adapter-sy-pex24045,PCIe x4,Green / Black,Syba,SY-PEX24045
SIIG LB-GE0311-S1,https://pcpartpicker.com/product/XR2bt6/siig-lb-ge0311-s1-2-x-10-gbs-ethernet-pcie-x8-network-adapter-lb-ge0311-s1,PCIe x8,Black / Green,SIIG,LB-GE0311-S1
StarTech ST1000SPEX4,https://pcpartpicker.com/product/L2vRsY/startech-wired-network-card-st1000spex4,PCIe x4,,StarTech,ST1000SPEX4|C734A2YG
StarTech ST1000SPEX42,https://pcpartpicker.com/product/zVxfrH/startech-wired-network-card-st1000spex42,PCIe x4,,StarTech,ST1000SPEX42
Intel EXPI9301CT,https://pcpartpicker.com/product/k94gXL/intel-wired-network-card-expi9301ct,PCIe x1,,Intel,EXPI9301CT
Syba SI-PEX24042,https://pcpartpicker.com/product/X4zkcf/syba-si-pex24042-pcie-x1-1000-mbits-network-adapter-si-pex24042,PCIe x1,Green / Black,Syba,SI-PEX24042
StarTech ST10GSPEXNB,https://pcpartpicker.com/product/s2zXsY/startech-st10gspexnb-10-gbs-ethernet-pcie-x4-network-adapter-st10gspexnb,PCIe x4,Black,StarTech,ST10GSPEXNB
Intel EXPI9404PTLBLK-1PK,https://pcpartpicker.com/product/v3Lypg/intel-wired-network-card-expi9404ptlblk1pk,PCIe x4,,Intel,EXPI9404PTLBLK-1PK
Monoprice 112909,https://pcpartpicker.com/product/sYytt6/monoprice-112909-gigabit-ethernet-usb-type-c-network-adapter-112909,USB Type-C 3.2 Gen 2,White,Monoprice,112909
Plugable USBC-E1000,https://pcpartpicker.com/product/yhzZxr/plugable-usbc-e1000-usb-type-c-1-gbits-network-adapter-usbc-e1000,USB Type-C 3.2 Gen 1,,Plugable,USBC-E1000
Intel X520-T2,https://pcpartpicker.com/product/hdyV3C/intel-x520-t2-pcie-x8-10-gbits-network-adapter-x520-t2,PCIe x8,Green / Black,Intel,X520-T2
Intel E1G44HTBLK,https://pcpartpicker.com/product/4sdqqs/intel-wired-network-card-e1g44htblk,PCIe x4,,Intel,E1G44HTBLK
