name,part_url,size,color,rpm,airflow,pwm,manufacturer,part_number,connectors
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/WNbTwP/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3b,120,Black,,"0,61.3",True,Lian Li,UF-SLIN120-3B|12SLIN3B|G99.12SLIN3B.00,4-pin PWM|3-pin 5V Addressable RGB
Corsair RS120 ARGB 3-Pack,https://pcpartpicker.com/product/H2vD4D/corsair-rs120-argb-728-cfm-120-mm-fans-3-pack-co-9050181-ww,120,Black,"420,2100","13.3,72.8",True,Corsair,CO-9050181-WW,4-pin PWM|3-pin 5V Addressable RGB
ARCTIC P12 Pro PST 5-Pack,https://pcpartpicker.com/product/wHpD4D/arctic-p12-pro-pst-77-cfm-120-mm-fans-5-pack-acfan00307a,120,Black,"600,3000",77,True,ARCTIC,ACFAN00307A,4-pin PWM
Noctua NF-A12x25 PWM chromax.black.swap,https://pcpartpicker.com/product/4q7G3C/noctua-nf-a12x25-pwm-chromaxblackswap-6009-cfm-120-mm-fan-nf-a12x25-pwm-chromaxblackswap,120,Black,"450,2000",60.09,True,Noctua,NF-A12x25 PWM chromax.black.swap|NF-A12X25 PWM CH.BK.S|NF-A12x25-PWM-CH-BK-S,4-pin PWM
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/6kQcCJ/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3w,120,White,,"0,61.3",True,Lian Li,UF-SLIN120-3W|12SLIN3W|G99.12SLIN3W.00,4-pin PWM|3-pin 5V Addressable RGB
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/2hzhP6/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1b,120,Black,,"0,61.3",True,Lian Li,UF-SLIN120-1B|12SLIN1B|G99.12SLIN1B.00,4-pin PWM|3-pin 5V Addressable RGB
Corsair RS120 ARGB 3-Pack,https://pcpartpicker.com/product/pHP8TW/corsair-rs120-argb-728-cfm-120-mm-fans-3-pack-co-9050185-ww,120,White,"420,2100","13.3,72.8",True,Corsair,CO-9050185-WW,4-pin PWM|3-pin 5V Addressable RGB
Thermalright TL-C12C-S X3 3-Pack,https://pcpartpicker.com/product/vq6p99/thermalright-tl-c12c-s-x3-6617-cfm-120-mm-fans-3-pack-tl-c12c-s-x3-d6,120,Black,1550,66.17,True,Thermalright,TL-C12C-S X3 D6|TL-C12C-S X3,4-pin PWM|3-pin 5V Addressable RGB
ARCTIC P12 Pro,https://pcpartpicker.com/product/M2jv6h/arctic-p12-pro-77-cfm-120-mm-fan-acfan00305a,120,Black,"600,3000",77,True,ARCTIC,ACFAN00305A,4-pin PWM
Thermalright TL-C12C X3 3-Pack,https://pcpartpicker.com/product/JmfnTW/thermalright-tl-c12c-x3-6617-cfm-120-mm-fans-3-pack-tl-c12c-x3-d6,120,Black,1550,66.17,True,Thermalright,TL-C12C X3 D6|TL-C12C X3,4-pin PWM
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/ZRgrxr/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fan-rslin120-1b,120,Black,"200,2100",63.6,True,Lian Li,RSLIN120-1B|UF-RSLIN120-1B|G99.12RSLIN1B.00|12RSLIN1B,4-pin PWM|3-pin 5V Addressable RGB
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,https://pcpartpicker.com/product/DWMMnQ/lian-li-uni-fan-sl-wireless-120-reverse-blade-64-cfm-120-mm-fans-3-pack-12rsl1w3w,120,White,"400,2000",64,True,Lian Li,12RSL1W3W|G99.12RSL1W3W.00,4-pin PWM
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,https://pcpartpicker.com/product/ws6NnQ/lian-li-uni-fan-sl-wireless-120-reverse-blade-64-cfm-120-mm-fans-3-pack-12rsl1w3b,120,Black,"400,2000",64,True,Lian Li,12RSL1W3B|G99.12RSL1W3B.00,4-pin PWM
Corsair RS120 ARGB,https://pcpartpicker.com/product/Xy6NnQ/corsair-rs120-argb-728-cfm-120-mm-fan-co-9050180-ww,120,Black,"420,2100","13.3,72.8",True,Corsair,CO-9050180-WW,4-pin PWM|3-pin 5V Addressable RGB
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/YTzXsY/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fan-rslin120-1w,120,White,"200,2100",63.6,True,Lian Li,RSLIN120-1W|UF-RSLIN120-1W|G99.12RSLIN1W.00|12RSLIN1W,4-pin PWM|3-pin 5V Addressable RGB
ARCTIC P12 Pro A-RGB 3-Pack,https://pcpartpicker.com/product/yHrp99/arctic-p12-pro-a-rgb-77-cfm-120-mm-fans-3-pack-acfan00310a,120,Black,"600,3000",77,True,ARCTIC,ACFAN00310A,4-pin PWM|3-pin 5V Addressable RGB
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/CVQKHx/lian-li-uni-fan-sl-infinity-716-cfm-140-mm-fan-uf-rs-slin140-1b,140,Black,"200,1600",71.6,True,Lian Li,UF-RS-SLIN140-1B|14RSLIN1B,4-pin PWM|3-pin 5V Addressable RGB
ARCTIC P14 Pro PST,https://pcpartpicker.com/product/LvNscf/arctic-p14-pro-pst-110-cfm-140-mm-fan-acfan00314a,140,Black,"400,2500",110,True,ARCTIC,ACFAN00314A,4-pin PWM
Noctua NF-A12x25 G2 PWM Sx2-PP 2-Pack,https://pcpartpicker.com/product/HxTFf7/noctua-nf-a12x25-g2-pwm-sx2-pp-6315-cfm-120-mm-fans-2-pack-nf-a12x25-g2-pwm-sx2-pp,120,Brown,"1500,1800","51.32,63.15",True,Noctua,NF-A12x25 G2 PWM Sx2-PP,4-pin PWM
Lian Li UNI FAN TL Wireless 3-Pack,https://pcpartpicker.com/product/fm8Pxr/lian-li-uni-fan-tl-wireless-901-cfm-120-mm-fans-3-pack-12tl1w3b,120,Black,"200,2600",90.1,True,Lian Li,12TL1W3B|G99.12TL1W3B.00,4-pin PWM
Corsair RS120 3-Pack,https://pcpartpicker.com/product/cbmNnQ/corsair-rs120-728-cfm-120-mm-fans-3-pack-co-9050189-ww,120,Black,"420,2100","13.3,72.8",True,Corsair,CO-9050189-WW,4-pin PWM
be quiet! Silent Wings Pro 4,https://pcpartpicker.com/product/N8NxFT/be-quiet-silent-wings-pro-4-839-cfm-120-mm-fan-bl098,120,Black,3000,83.9,True,be quiet!,BL098,4-pin PWM
Noctua NF-A12x25 G2 PWM,https://pcpartpicker.com/product/XLpD4D/noctua-nf-a12x25-g2-pwm-6315-cfm-120-mm-fan-nf-a12x25-g2-pwm,120,Brown,"1500,1800","51.32,63.15",True,Noctua,NF-A12x25 G2 PWM,4-pin PWM
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,https://pcpartpicker.com/product/4VBzK8/corsair-icue-link-qx120-rgb-starter-kit-631-cfm-120-mm-fans-3-pack-co-9051002-ww,120,Black,"480,2400","16.44,63.1",True,Corsair,CO-9051002-WW,Proprietary PWM
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/bBBG3C/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1w,120,White,,"0,61.3",True,Lian Li,UF-SLIN120-1W|12SLIN1W|G99.12SLIN1W.00,4-pin PWM|3-pin 5V Addressable RGB
Lian Li UNI FAN TL LCD Wireless 3-Pack,https://pcpartpicker.com/product/NyfV3C/lian-li-uni-fan-tl-lcd-wireless-543-cfm-120-mm-fans-3-pack-12rtllcd1w3b,120,Black,"350,1900",54.3,True,Lian Li,12RTLLCD1W3B|G99.12RTLLCD1W3B.00,4-pin PWM
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/cv7scf/lian-li-uni-fan-sl-infinity-716-cfm-140-mm-fan-uf-rs-slin140-1w,140,White,"200,1600",71.6,True,Lian Li,UF-RS-SLIN140-1W|14RSLIN1W,4-pin PWM|3-pin 5V Addressable RGB
Lian Li UNI FAN TL LCD Wireless 3-Pack,https://pcpartpicker.com/product/L7h2FT/lian-li-uni-fan-tl-lcd-wireless-543-cfm-120-mm-fans-3-pack-12rtllcd1w3w,120,White,"350,1900",54.3,True,Lian Li,12RTLLCD1W3W|G99.12RTLLCD1W3W.00,4-pin PWM
ARCTIC P12 Pro PST,https://pcpartpicker.com/product/NX3WGX/arctic-p12-pro-pst-77-cfm-120-mm-fan-acfan00306a,120,Black,"600,3000",77,True,ARCTIC,ACFAN00306A,4-pin PWM
ARCTIC P12 Pro Reverse A-RGB 3-Pack,https://pcpartpicker.com/product/cXpD4D/arctic-p12-pro-reverse-a-rgb-73-cfm-120-mm-fans-3-pack-acfan00333a,120,Black,"500,3000",73,True,ARCTIC,ACFAN00333A,4-pin PWM|3-pin 5V Addressable RGB
Noctua P12 redux-1700 PWM,https://pcpartpicker.com/product/VNBTwP/noctua-nf-p12-redux-1700-pwm-708-cfm-120mm-fan-nf-p12-redux-1700-pwm,120,Gray,"450,1700",70.75,True,Noctua,NF-P12 REDUX-1700 PWM|Noctua NF-P12 redux-1700 PWM|NF-P12-REDUX-1700P,4-pin PWM
ARCTIC P12 Pro A-RGB,https://pcpartpicker.com/product/DfVfrH/arctic-p12-pro-a-rgb-77-cfm-120-mm-fan-acfan00309a,120,Black,"600,3000",77,True,ARCTIC,ACFAN00309A,4-pin PWM|3-pin 5V Addressable RGB
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/7vh2FT/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fans-3-pack-12rslin3b,120,Black,"200,2100",63.6,True,Lian Li,12RSLIN3B|G99.12RSLIN3B.00,4-pin PWM|3-pin 5V Addressable RGB
Corsair iCUE LINK RX120 3-Pack,https://pcpartpicker.com/product/8wfxFT/corsair-icue-link-rx120-742-cfm-120-mm-fans-3-pack-co-9051018-ww,120,Black / White,2100,"10.5,74.2",False,Corsair,CO-9051018-WW,Proprietary
