name,part_url,type,color,psu,side_panel,manufacturer,part_number,int_35_bays,ext_525_bays,ext_35_bays,int_25_bays,expansion_slots_full_height,expansion_slots_half_height,expansion_slots_riser,length,width,height,max_gpu_len,max_cpu_cooler_height,mobo_form_factor,front_panel_usb,radiator_support,fan_support
Phanteks XT PRO,https://pcpartpicker.com/product/zJWJ7P/phanteks-xt-pro-atx-mid-tower-case-ph-xt523p1-bk01,ATX Mid Tower,Black,,Tempered Glass,Phanteks,PH-XT523P1-BK01,2,0,0,0,7,0,0,450.0,230.0,500.0,415.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,Front: 240 / 120 mm|Rear: 120 mm|Top: 360 / 240 / 120 mm,Front: 3 x 120 mm / 2 x 140 mm|Rear: 1 x 120 mm|Top: 3 x 120 mm / 3 x 140 mm|PSU Shroud: 3 x 120 mm
Corsair 3500X ARGB,https://pcpartpicker.com/product/T8V2FT/corsair-3500x-argb-atx-mid-tower-case-cc-9011279-ww,ATX Mid Tower,White,,Tempered Glass,Corsair,CC-9011279-WW,2,0,0,2,7,0,0,460.0,240.0,506.0,410.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Motherboard Tray: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 1 x 140 mm|Motherboard Tray: 3 x 120 mm / 2 x 140 mm
NZXT H5 Flow (2024),https://pcpartpicker.com/product/bvTZxr/nzxt-h5-flow-2024-atx-mid-tower-case-cc-h52fb-01,ATX Mid Tower,Black,,Tempered Glass,NZXT,CC-H52FB-01,1,0,0,2,7,0,0,430.0,225.0,465.0,410.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,Front: 360 / 240 / 120 mm|Top: 280 / 240 / 140 / 120 mm,Front: 3 x 120 mm / 2 x 140 mm|Rear: 1 x 120 mm|Top: 2 x 120 mm / 2 x 140 mm|Bottom: 2 x 120 mm
Lian Li Vector V100R,https://pcpartpicker.com/product/gBzp99/lian-li-v100r-atx-mid-tower-case-v100rx,ATX Mid Tower,Black,,Tempered Glass,Lian Li,V100RX|G99.V100RX.00,1,0,0,1,7,0,0,466.0,235.5,484.65,415.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Lian Li O11 VISION COMPACT,https://pcpartpicker.com/product/9Q88TW/lian-li-o11-vision-compact-atx-mid-tower-case-o11vpx,ATX Mid Tower,Black,,Tempered Glass,Lian Li,O11VPX|O11 Vision Compact Black|G99.O11VPX.00|PC-O11VPX,2,0,0,2,7,0,0,447.5,287.5,446.4,408.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Bottom: 360 / 240 / 120 mm|Right: 360 / 240 / 120 mm,Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Right: 3 x 120 mm
Cooler Master MasterBox Q300L,https://pcpartpicker.com/product/rnGxFT/cooler-master-masterbox-q300l-microatx-mini-tower-case-mcb-q300l-kann-s00,MicroATX Mini Tower,Black,,Acrylic,Cooler Master,MCB-Q300L-KANN-S00,1,0,0,2,4,0,0,387.0,230.0,378.0,360.0,,Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,Front: 240 / 120 mm|Rear: 120 mm,Front: 2 x 120 mm / 2 x 140 mm|Rear: 1 x 120 mm|Top: 2 x 120 mm|Bottom: 1 x 120 mm
Corsair 3500X ARGB,https://pcpartpicker.com/product/BwBzK8/corsair-3500x-argb-atx-mid-tower-case-cc-9011278-ww,ATX Mid Tower,Black,,Tempered Glass,Corsair,CC-9011278-WW,2,0,0,2,7,0,0,460.0,240.0,506.0,410.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Motherboard Tray: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 1 x 140 mm|Motherboard Tray: 3 x 120 mm / 2 x 140 mm
Lian Li O11 VISION COMPACT,https://pcpartpicker.com/product/7qKscf/lian-li-o11-vision-compact-atx-mid-tower-case-o11vpw,ATX Mid Tower,White,,Tempered Glass,Lian Li,O11VPW|O11 Vision Compact White|G99.O11VPW.00|PC-O11VPW,2,0,0,2,7,0,0,447.5,287.5,446.4,408.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Bottom: 360 / 240 / 120 mm|Right: 360 / 240 / 120 mm,Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Right: 3 x 120 mm
Fractal Design North,https://pcpartpicker.com/product/ybNxFT/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-02,ATX Mid Tower,Black,,Tempered Glass,Fractal Design,FD-C-NOR1C-02,2,0,0,2,7,0,0,447.0,215.0,469.0,355.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,Front: 360 / 280 / 240 / 140 / 120 mm|Rear: 120 mm|Top: 240 / 120 mm,Front: 3 x 120 mm / 2 x 140 mm|Rear: 1 x 120 mm|Top: 2 x 120 mm / 2 x 140 mm
HYTE Y70 Touch Infinite,https://pcpartpicker.com/product/Tvrqqs/hyte-y70-touch-infinite-atx-mid-tower-case-cs-hyte-y70ti-ww,ATX Mid Tower,White,,Tempered Glass,HYTE,CS-HYTE-Y70TI-WW|CS-HYTE-Y70TTI-WW,2,0,0,0,0,7,4,470.0,320.0,470.0,390.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 140 / 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Right: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm / 1 x 140 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 2 x 140 mm|Right: 3 x 120 mm / 2 x 140 mm
