name,part_url,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,manufacturer,part_number,socket,max_memory,ecc_support
AMD Ryzen 7 9800X3D,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,4.7,5.2,Zen 5,120,Radeon,AMD,100-1000001084WOF|AMD Ryzen 7 9800X3D|100-100001084WOF,AM5,192.0,True
AMD Ryzen 7 7800X3D,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,8,4.2,5.0,Zen 4,120,Radeon,AMD,100-100000910WOF,AM5,128.0,True
AMD Ryzen 5 9600X,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,6,3.9,5.4,Zen 5,65,Radeon,AMD,100-100001405WOF,AM5,192.0,True
AMD Ryzen 5 7600X,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,6,4.7,5.3,Zen 4,105,Radeon,AMD,100-100000593WOF,AM5,128.0,True
AMD Ryzen 5 5500,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,6,3.6,4.2,Zen 3,65,,AMD,100-100000457BOX,AM4,128.0,False
AMD Ryzen 9 9950X3D,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,16,4.3,5.7,Zen 5,170,Radeon,AMD,100-100000719WOF,AM5,192.0,True
AMD Ryzen 7 7700X,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,4.5,5.4,Zen 4,105,Radeon,AMD,100-100000591WOF,AM5,128.0,True
AMD Ryzen 5 5600,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,6,3.5,4.4,Zen 3,65,,AMD,100-100000927BOX,AM4,128.0,False
AMD Ryzen 7 9700X,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,3.8,5.5,Zen 5,65,Radeon,AMD,100-100001404WOF,AM5,192.0,True
AMD Ryzen 7 5800X,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,8,3.8,4.7,Zen 3,105,,AMD,100-100000063WOF,AM4,128.0,False
AMD Ryzen 5 5600X,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,6,3.7,4.6,Zen 3,65,,AMD,100-100000065BOX,AM4,128.0,False
AMD Ryzen 7 5700X,https://pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof,8,3.4,4.6,Zen 3,65,,AMD,100-100000926WOF,AM4,128.0,False
AMD Ryzen 5 3600,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,6,3.6,4.2,Zen 2,65,,AMD,Ryzen 5 3600|100-100000031BOX,AM4,128.0,False
Intel Core i7-14700K,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,Intel,BX8071514700K,LGA1700,192.0,True
