name,part_url,type,interface,capacity,color,manufacturer,part_number,rpm,form_factor
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/3MQKHx/apricorn-aegis-fortress-l3-20-tb-external-ssd-afl3-s20tb,SSD,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,Black,Apricorn,AFL3-S20TB,,External
Western Digital My Book Duo,https://pcpartpicker.com/product/2rsV3C/western-digital-my-book-duo-44-tb-external-hard-drive-wdbfbe0440jbk-nesn,HDD,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",44000,Black,Western Digital,WDBFBE0440JBK-NESN,,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/9xL7YJ/western-digital-elements-1tb-external-hard-drive-wdbuzg0010bbk-wesn,HDD,USB Type-A 3.2 Gen 1,1000,,Western Digital,WDBUZG0010BBK-WESN|WDBUZG0010BBK,5400.0,External
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/JLKnTW/seagate-expansion-amer-28-tb-external-hard-drive-stkp28000400,HDD,USB Type-A 3.2 Gen 1,28000,,Seagate,STKP28000400,5400.0,External
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/dYdrxr/western-digital-wd_black-p10-5-tb-external-hard-drive-wdba3a0050bbk-wesn,HDD,USB Type-A 3.2 Gen 1,5000,Black,Western Digital,WDBA3A0050BBK-WESN,5400.0,External
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/KdP8TW/apricorn-aegis-fortress-l3-4-tb-external-ssd-afl3-s4tb,SSD,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,Black,Apricorn,AFL3-S4TB,,External
Apricorn Padlock DT FIPS,https://pcpartpicker.com/product/cPdG3C/apricorn-padlock-dt-fips-22-tb-external-hard-drive-adt-3pl256f-22tb,HDD,USB Type-A 3.2 Gen 1,22000,Black,Apricorn,ADT-3PL256F-22TB,5400.0,External
Seagate Portable Drive,https://pcpartpicker.com/product/BrYfrH/seagate-portable-drive-1-tb-external-hard-drive-stgx1000400,HDD,USB Type-A 3.2 Gen 1,1000,Black,Seagate,STGX1000400,5400.0,External
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/P4m2FT/seagate-expansion-amer-26-tb-external-hard-drive-stkp26000400,HDD,USB Type-A 3.2 Gen 1,26000,,Seagate,STKP26000400,5400.0,External
SanDisk Professional PRO-Blade Transport,https://pcpartpicker.com/product/7zdG3C/sandisk-professional-pro-blade-transport-4-tb-external-ssd-sdpm2nb-004t-gband,SSD,USB Type-C 3.2 Gen 2x2,4000,Black,SanDisk,SDPM2NB-004T-GBAND,,External
