name,part_url,color,cas_latency,manufacturer,part_number,form_factor,is_ecc,is_registered,modules_count,modules_size,memory_type,frequency
Crucial Pro Overclocking 32 GB,https://pcpartpicker.com/product/QF9wrH/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cp2k16g60c36u5b,Black,36.0,Crucial,CP2K16G60C36U5B,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Corsair Vengeance RGB 32 GB,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36,Black,36.0,Corsair,CMH32GX5M2E6000C36,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Corsair Vengeance LPX 32 GB,https://pcpartpicker.com/product/W6ndnQ/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3200-memory-cmk32gx4m2e3200c16,Black / Yellow,16.0,Corsair,CMK32GX4M2E3200C16,288-pin DIMM (DDR4),False,False,2,16,DDR4,3200.0
Corsair Vengeance LPX 16 GB,https://pcpartpicker.com/product/p6RFf7/corsair-memory-cmk16gx4m2b3200c16,Black / Yellow,16.0,Corsair,CMK16GX4M2B3200C16,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
Silicon Power GAMING 16 GB,https://pcpartpicker.com/product/P4FKHx/silicon-power-gaming-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-sp016gxlzu320bdaj5,Black / Gray,16.0,Silicon Power,SP016GXLZU320BDAJ5|SU016GXLZU320BDAJ5,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
G.Skill Flare X5 32 GB,https://pcpartpicker.com/product/pwxRsY/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-fx5,Black,36.0,G.Skill,F5-6000J3636F16GX2-FX5,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Kingston FURY Beast 16 GB,https://pcpartpicker.com/product/hbJgXL/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-kf552c40bbk2-16,Black,40.0,Kingston,KF552C40BBK2-16,288-pin DIMM (DDR5),False,False,2,8,DDR5,5200.0
Corsair Vengeance RGB 64 GB,https://pcpartpicker.com/product/WTMMnQ/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmh64gx5m2b6000c30,Black,30.0,Corsair,CMH64GX5M2B6000C30,288-pin DIMM (DDR5),False,False,2,32,DDR5,6000.0
Patriot Viper Elite 5 16 GB,https://pcpartpicker.com/product/G79nTW/patriot-viper-elite-5-16-gb-1-x-16-gb-ddr5-6000-cl30-memory-veb516g6030w,White,30.0,Patriot,VEB516G6030W,288-pin DIMM (DDR5),False,False,1,16,DDR5,6000.0
Kingston FURY Beast 32 GB,https://pcpartpicker.com/product/q7LdnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbek2-32,Black,30.0,Kingston,KF560C30BBEK2-32,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Corsair Vengeance RGB Pro 32 GB,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,Black,18.0,Corsair,CMW32GX4M2Z3600C18,288-pin DIMM (DDR4),False,False,2,16,DDR4,3600.0
Crucial Pro 32 GB,https://pcpartpicker.com/product/3L9wrH/crucial-pro-32-gb-2-x-16-gb-ddr5-5600-cl46-memory-cp2k16g56c46u5,Black,46.0,Crucial,CP2K16G56C46U5,288-pin DIMM (DDR5),False,False,2,16,DDR5,5600.0
Corsair Vengeance RGB 32 GB,https://pcpartpicker.com/product/KXV2FT/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36w,White / Silver,36.0,Corsair,CMH32GX5M2E6000C36W,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Crucial Pro 32 GB,https://pcpartpicker.com/product/TQjRsY/crucial-pro-32-gb-2-x-16-gb-ddr5-6400-cl38-memory-cp2k16g64c38u5b,Black,38.0,Crucial,CP2K16G64C38U5B,288-pin DIMM (DDR5),False,False,2,16,DDR5,6400.0
Corsair Vengeance RGB 16 GB,https://pcpartpicker.com/product/MJzXsY/corsair-vengeance-rgb-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-cmh16gx5m2b5200c40,Black / Gray,40.0,Corsair,CMH16GX5M2B5200C40,288-pin DIMM (DDR5),False,False,2,8,DDR5,5200.0
G.Skill Ripjaws V 16 GB,https://pcpartpicker.com/product/Cf98TW/gskill-ripjaws-v-series-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16d-16gvkb,Black,16.0,G.Skill,F4-3200C16D-16GVKB,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
G.Skill Trident Z5 Neo RGB 32 GB,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr,Black,30.0,G.Skill,F5-6000J3038F16GX2-TZ5NR,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Corsair Vengeance RGB Pro 16 GB,https://pcpartpicker.com/product/QDhKHx/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16,Black,16.0,Corsair,CMW16GX4M2C3200C16,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
Kingston FURY Beast RGB 32 GB,https://pcpartpicker.com/product/NWhv6h/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbeak2-32,Black,30.0,Kingston,KF560C30BBEAK2-32,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Patriot Viper Venom 32 GB,https://pcpartpicker.com/product/4cCCmG/patriot-viper-venom-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-pvv532g600c30k,Black / White,30.0,Patriot,PVV532G600C30K,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
TEAMGROUP T-Force Vulcan Z 16 GB,https://pcpartpicker.com/product/z3VD4D/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-memory-tlzgd416g3200hc16cdc01,Black,16.0,TEAMGROUP,TLZGD416G3200HC16CDC01,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
Crucial CT2K8G4DFRA32A 16 GB,https://pcpartpicker.com/product/qVjNnQ/crucial-ct2k8g4dfra32a-16-gb-2-x-8-gb-ddr4-3200-cl22-memory-ct2k8g4dfra32a,Green,22.0,Crucial,CT2K8G4DFRA32A,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
Corsair Vengeance 32 GB,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30,Black / Gray,30.0,Corsair,CMK32GX5M2B6000C30,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Crucial Pro 64 GB,https://pcpartpicker.com/product/KP8Pxr/crucial-pro-64-gb-2-x-32-gb-ddr5-6000-cl40-memory-cp2k32g60c40u5b,Black,40.0,Crucial,CP2K32G60C40U5B,288-pin DIMM (DDR5),False,False,2,32,DDR5,6000.0
G.Skill Trident Z5 Neo RGB 64 GB,https://pcpartpicker.com/product/hRQcCJ/gskill-trident-z5-neo-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5nr,Black / Silver,30.0,G.Skill,F5-6000J3040G32GX2-TZ5NR,288-pin DIMM (DDR5),False,False,2,32,DDR5,6000.0
Kingston FURY Beast 16 GB,https://pcpartpicker.com/product/6YfnTW/kingston-fury-beast-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-kf432c16bbk216,Black,16.0,Kingston,KF432C16BBK216,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
Kingston FURY Beast 8 GB,https://pcpartpicker.com/product/PkbTwP/kingston-fury-beast-8-gb-1-x-8-gb-ddr4-3200-cl16-memory-kf432c16bb8,Black,16.0,Kingston,KF432C16BB8,288-pin DIMM (DDR4),False,False,1,8,DDR4,3200.0
Crucial Pro Overclocking 32 GB,https://pcpartpicker.com/product/xVy8TW/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-cp2k16g64c32u5b,Black,32.0,Crucial,CP2K16G64C32U5B,288-pin DIMM (DDR5),False,False,2,16,DDR5,6400.0
Patriot Viper Venom 16 GB,https://pcpartpicker.com/product/pYm2FT/patriot-viper-venom-16-gb-2-x-8-gb-ddr5-6000-cl36-memory-pvv516g600c36gk,Black / Silver,36.0,Patriot,PVV516G600C36GK,288-pin DIMM (DDR5),False,False,2,8,DDR5,6000.0
TEAMGROUP T-Force Delta RGB 32 GB,https://pcpartpicker.com/product/WFVmP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff4d532g6000hc30dc01,White,30.0,TEAMGROUP,FF4D532G6000HC30DC01,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
TEAMGROUP T-Force Delta RGB 16 GB,https://pcpartpicker.com/product/P2tLrH/teamgroup-t-force-delta-rgb-16-gb-2-x-8-gb-ddr5-6000-cl38-memory-ff4d516g6000hc38adc01,White,38.0,TEAMGROUP,FF4D516G6000HC38ADC01,288-pin DIMM (DDR5),False,False,2,8,DDR5,6000.0
