name,part_url,socket,form_factor,max_memory,memory_slots,color,manufacturer,part_number,memory_type,memory_speed_max,m2_slots,sata_6_ports,sata_3_ports,pci_x16_slots,pci_x8_slots,pci_x4_slots,pci_x1_slots,pci_slots,mini_pcie_msata_slots,uses_back_connect,ecc_support,header_usb_2_0,header_usb_3_2_gen_1,header_usb_3_2_gen_2,header_usb_3_2_gen_2x2,header_usb_2_0__(single_port)
MSI B650 GAMING PLUS WIFI,https://pcpartpicker.com/product/szfxFT/msi-b650-gaming-plus-wifi-atx-am5-motherboard-b650-gaming-plus-wifi,AM5,ATX,192,4,Black,MSI,B650 GAMING PLUS WIFI|7E26-001R|911-7E26-001,DDR5,6400,2280/22110 M-key|2260/2280 M-key,4,0,2,0,0,1,0,,False,False,2,1,1,0,0
MSI MAG B850 TOMAHAWK MAX WIFI,https://pcpartpicker.com/product/vjpD4D/msi-mag-b850-tomahawk-max-wifi-atx-am5-motherboard-mag-b850-tomahawk-max-wifi,AM5,ATX,256,4,Black / Green,MSI,MAG B850 TOMAHAWK MAX WIFI|7E62-002R,DDR5,8400,2280/22110 M-key|2260/2280 M-key|2260/2280 M-key|2260/2280 M-key|2230 E-key,4,0,3,0,0,0,0,,False,False,2,2,0,1,0
Asus B650E MAX GAMING WIFI W,https://pcpartpicker.com/product/QtnXsY/asus-b650e-max-gaming-wifi-w-atx-am5-motherboard-b650e-max-gaming-wifi-w,AM5,ATX,256,4,White,Asus,B650E MAX GAMING WIFI W|90MB1M00-MVAAY0|90MB1M00-M0EAY0|B650E MAX GAMING WIFI White,DDR5,8000,2280 M-key|2280 M-key|2242/2260/2280/22110 M-key,4,0,4,0,0,0,0,,False,False,3,1,1,0,0
Asus PRIME B550M-A WIFI II,https://pcpartpicker.com/product/jQrRsY/asus-prime-b550m-a-wifi-ii-micro-atx-am4-motherboard-prime-b550m-a-wifi-ii,AM4,Micro ATX,128,4,Blue / Silver,Asus,PRIME B550M-A WIFI II|90MB19X0-M0AAY0|90MB19X0-M0EAY0,DDR4,4866,2242/2260/2280/22110 M-key|2242/2260/2280 M-key,4,0,1,0,0,2,0,,False,False,2,1,0,0,0
Gigabyte B850 AORUS ELITE WIFI7,https://pcpartpicker.com/product/72RnTW/gigabyte-b850-aorus-elite-wifi7-atx-am5-motherboard-b850-aorus-elite-wifi7,AM5,ATX,256,4,Black,Gigabyte,B850 AORUS ELITE WIFI7|B850 A ELITE WF7|B850 AORUS ELITE WF7,DDR5,8200,2580/25110 M-key|2580/25110 M-key|2580/25110 M-key,4,0,3,0,0,0,0,,False,False,2,1,0,1,0
Asus TUF GAMING B850-PLUS WIFI,https://pcpartpicker.com/product/sRG2FT/asus-tuf-gaming-b850-plus-wifi-atx-am5-motherboard-tuf-gaming-b850-plus-wifi,AM5,ATX,256,4,Black / Silver,Asus,TUF GAMING B850-PLUS WIFI|90MB1J30-M0AAY0|90MB1J30-M0EAY0,DDR5,8000,2280 M-key|2242/2260/2280/22110 M-key|2280 M-key,4,0,2,0,0,2,0,,False,False,2,1,1,0,0
Asus TUF GAMING B650E-E WIFI,https://pcpartpicker.com/product/K8XMnQ/asus-tuf-gaming-b650e-e-wifi-atx-am5-motherboard-tuf-gaming-b650e-e-wifi,AM5,ATX,256,4,Black,Asus,TUF GAMING B650E-E WIFI,DDR5,8000,2280 M-key|2280 M-key|2242/2260/2280/22110 M-key,4,0,2,0,0,1,0,,False,False,2,1,0,1,0
Gigabyte B550 EAGLE WIFI6,https://pcpartpicker.com/product/fzNscf/gigabyte-b550-eagle-wifi6-atx-am4-motherboard-b550-eagle-wifi6,AM4,ATX,128,4,Black,Gigabyte,B550 EAGLE WIFI6,DDR4,3200,2280/22110 M-key|2280/22110 M-key,4,0,5,0,0,0,0,,False,False,2,1,1,0,0
Gigabyte A520M K V2,https://pcpartpicker.com/product/ZjCZxr/gigabyte-a520m-k-v2-micro-atx-am4-motherboard-a520m-k-v2,AM4,Micro ATX,64,2,Brown / Black,Gigabyte,A520M K V2,DDR4,5100,2280 M-key,4,0,1,0,0,1,0,,False,False,2,1,0,0,0
Asus ROG STRIX B850-A GAMING WIFI,https://pcpartpicker.com/product/d4CCmG/asus-rog-strix-b850-a-gaming-wifi-atx-am5-motherboard-rog-strix-b850-a-gaming-wifi,AM5,ATX,192,4,White,Asus,ROG STRIX B850-A GAMING WIFI|90MB1J50-M0AAY0|90MB1J50-M0EAY0,DDR5,8000,2242/2260/2280 M-key|2280/22110 M-key|2280 M-key|2280 M-key,2,0,2,0,0,0,0,,False,False,2,1,1,0,0
MSI B550M PRO-VDH WIFI,https://pcpartpicker.com/product/PDsnTW/msi-b550m-pro-vdh-wifi-micro-atx-am4-motherboard-b550m-pro-vdh-wifi,AM4,Micro ATX,128,4,Black,MSI,B550M PRO-VDH WIFI|7C95-001R|911-7C95-008,DDR4,4400,2242/2260/2280 M-key|2242/2260/2280 M-key,4,0,1,0,0,2,0,,False,False,2,1,1,0,0
ASRock B850M Pro-A WiFi,https://pcpartpicker.com/product/FFdMnQ/asrock-b850m-pro-a-wifi-micro-atx-am5-motherboard-b850m-pro-a-wifi,AM5,Micro ATX,256,4,Black,ASRock,B850M Pro-A WiFi|90-MXBR9-A0UAYZ|90-MXBR90-A0UAYZ,DDR5,8000,2280 M-key|2280 M-key|2280 M-key|2230 E-key,4,0,1,0,1,0,0,,False,False,2,2,1,0,0
Gigabyte X870E AORUS ELITE WIFI7,https://pcpartpicker.com/product/pLtLrH/gigabyte-x870e-aorus-elite-wifi7-atx-am5-motherboard-x870e-aorus-elite-wifi7,AM5,ATX,256,4,Black,Gigabyte,X870E AORUS ELITE WIFI7|X870E A ELITE WIFI7,DDR5,8000,2580/25110 M-key|2280/22110 M-key|2280/22110 M-key|2280/22110 M-key,4,0,3,0,0,0,0,,False,False,2,2,0,1,0
Asus Z790 GAMING WIFI7,https://pcpartpicker.com/product/ZMxxFT/asus-z790-gaming-wifi7-atx-lga1700-motherboard-z790-gaming-wifi7,LGA1700,ATX,192,4,Silver / Black,Asus,Z790 GAMING WIFI7,DDR5,7200,2242/2260/2280/22110 M-key|2242/2260/2280 M-key|2242/2260/2280/22110 M-key,4,0,4,0,0,1,0,,False,False,2,2,1,0,0
Gigabyte B550M GAMING X WIFI6,https://pcpartpicker.com/product/sd9nTW/gigabyte-b550m-gaming-x-wifi6-micro-atx-am4-motherboard-b550m-gaming-x-wifi6,AM4,Micro ATX,128,4,Gray / Black,Gigabyte,B550M GAMING X WIFI6,DDR4,3200,2280 M-key|2280 M-key,4,0,2,0,0,1,0,,False,False,1,1,1,0,0
Gigabyte B650 EAGLE AX,https://pcpartpicker.com/product/CvcgXL/gigabyte-b650-eagle-ax-atx-am5-motherboard-b650-eagle-ax,AM5,ATX,192,4,Gray / Black,Gigabyte,B650 EAGLE AX|B650 EAGLE AX 1.0,DDR5,7600,2580/25110 M-key|2280/22110 M-key|2280/22110 M-key,4,0,4,0,0,0,0,,False,False,3,1,1,0,0
MSI MAG B550 TOMAHAWK MAX WIFI,https://pcpartpicker.com/product/MfZ9TW/msi-mag-b550-tomahawk-max-wifi-atx-am4-motherboard-mag-b550-tomahawk-max-wifi,AM4,ATX,128,4,Silver / Black,MSI,MAG B550 TOMAHAWK MAX WIFI|7C94-043R,DDR4,5100,2242/2260/2280/22110 M-key|2242/2260/2280 M-key|2230 E-key,6,0,2,0,0,2,0,,False,False,2,1,1,0,0
