name,part_url,price,size,color,rpm,airflow,noise_level,pwm
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/WNbTwP/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3b,101.99,120,Black,,"0,61.3","0,29",true
Corsair RS120 ARGB 3-Pack,https://pcpartpicker.com/product/H2vD4D/corsair-rs120-argb-728-cfm-120-mm-fans-3-pack-co-9050181-ww,52.89,120,Black,"420,2100","13.3,72.8","10,36",true
ARCTIC P12 Pro PST 5-Pack,https://pcpartpicker.com/product/wHpD4D/arctic-p12-pro-pst-77-cfm-120-mm-fans-5-pack-acfan00307a,30.49,120,Black,"600,3000",77,,true
Noctua NF-A12x25 PWM chromax.black.swap,https://pcpartpicker.com/product/4q7G3C/noctua-nf-a12x25-pwm-chromaxblackswap-6009-cfm-120-mm-fan-nf-a12x25-pwm-chromaxblackswap,37.95,120,Black,"450,2000",60.09,22.6,true
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/6kQcCJ/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3w,89.99,120,White,,"0,61.3","0,29",true
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/2hzhP6/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1b,39.95,120,Black,,"0,61.3","0,29",true
Corsair RS120 ARGB 3-Pack,https://pcpartpicker.com/product/pHP8TW/corsair-rs120-argb-728-cfm-120-mm-fans-3-pack-co-9050185-ww,50.99,120,White,"420,2100","13.3,72.8","10,36",true
Thermalright TL-C12C-S X3 3-Pack,https://pcpartpicker.com/product/vq6p99/thermalright-tl-c12c-s-x3-6617-cfm-120-mm-fans-3-pack-tl-c12c-s-x3-d6,16,120,Black,1550,66.17,25.6,true
ARCTIC P12 Pro,https://pcpartpicker.com/product/M2jv6h/arctic-p12-pro-77-cfm-120-mm-fan-acfan00305a,8.49,120,Black,"600,3000",77,,true
Thermalright TL-C12C X3 3-Pack,https://pcpartpicker.com/product/JmfnTW/thermalright-tl-c12c-x3-6617-cfm-120-mm-fans-3-pack-tl-c12c-x3-d6,16,120,Black,1550,66.17,25.6,true
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/ZRgrxr/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fan-rslin120-1b,36.99,120,Black,"200,2100",63.6,32,true
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,https://pcpartpicker.com/product/DWMMnQ/lian-li-uni-fan-sl-wireless-120-reverse-blade-64-cfm-120-mm-fans-3-pack-12rsl1w3w,91.99,120,White,"400,2000",64,31,true
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,https://pcpartpicker.com/product/ws6NnQ/lian-li-uni-fan-sl-wireless-120-reverse-blade-64-cfm-120-mm-fans-3-pack-12rsl1w3b,91.9,120,Black,"400,2000",64,31,true
Corsair RS120 ARGB,https://pcpartpicker.com/product/Xy6NnQ/corsair-rs120-argb-728-cfm-120-mm-fan-co-9050180-ww,21.98,120,Black,"420,2100","13.3,72.8","10,36",true
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/YTzXsY/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fan-rslin120-1w,36.99,120,White,"200,2100",63.6,32,true
ARCTIC P12 Pro A-RGB 3-Pack,https://pcpartpicker.com/product/yHrp99/arctic-p12-pro-a-rgb-77-cfm-120-mm-fans-3-pack-acfan00310a,29.49,120,Black,"600,3000",77,,true
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/CVQKHx/lian-li-uni-fan-sl-infinity-716-cfm-140-mm-fan-uf-rs-slin140-1b,29.9,140,Black,"200,1600",71.6,28.6,true
ARCTIC P14 Pro PST,https://pcpartpicker.com/product/LvNscf/arctic-p14-pro-pst-110-cfm-140-mm-fan-acfan00314a,12.49,140,Black,"400,2500",110,,true
Noctua NF-A12x25 G2 PWM Sx2-PP 2-Pack,https://pcpartpicker.com/product/HxTFf7/noctua-nf-a12x25-g2-pwm-sx2-pp-6315-cfm-120-mm-fans-2-pack-nf-a12x25-g2-pwm-sx2-pp,64.9,120,Brown,"1500,1800","51.32,63.15","18.1,22.5",true
Lian Li UNI FAN TL Wireless 3-Pack,https://pcpartpicker.com/product/fm8Pxr/lian-li-uni-fan-tl-wireless-901-cfm-120-mm-fans-3-pack-12tl1w3b,122.99,120,Black,"200,2600",90.1,33,true
Corsair RS120 3-Pack,https://pcpartpicker.com/product/cbmNnQ/corsair-rs120-728-cfm-120-mm-fans-3-pack-co-9050189-ww,29.99,120,Black,"420,2100","13.3,72.8","10,36",true
be quiet! Silent Wings Pro 4,https://pcpartpicker.com/product/N8NxFT/be-quiet-silent-wings-pro-4-839-cfm-120-mm-fan-bl098,32.9,120,Black,3000,83.9,36.9,true
Noctua NF-A12x25 G2 PWM,https://pcpartpicker.com/product/XLpD4D/noctua-nf-a12x25-g2-pwm-6315-cfm-120-mm-fan-nf-a12x25-g2-pwm,37.9,120,Brown,"1500,1800","51.32,63.15","18.1,22.5",true
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,https://pcpartpicker.com/product/4VBzK8/corsair-icue-link-qx120-rgb-starter-kit-631-cfm-120-mm-fans-3-pack-co-9051002-ww,126.99,120,Black,"480,2400","16.44,63.1",,true
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/bBBG3C/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1w,40.99,120,White,,"0,61.3","0,29",true
