name,part_url,price,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio
MSI MAG 275QF,https://pcpartpicker.com/product/4gGhP6/msi-mag-275qf-270-2560-x-1440-180-hz-monitor-mag-275qf,203.99,27,"2560,1440",180,0.5,IPS,16:9
Dell UP3218K,https://pcpartpicker.com/product/ZxBrxr/dell-up3218k-315-7680-x-4320-60-hz-monitor-up3218k,,31.5,"7680,4320",60,6,IPS,16:9
KOORUI 24E3,https://pcpartpicker.com/product/DqQKHx/koorui-24e3-240-1920-x-1080-165-hz-monitor-24e3,147.99,24,"1920,1080",165,1,IPS,16:9
Asus ROG Swift OLED PG32UCDM,https://pcpartpicker.com/product/TGYRsY/asus-rog-swift-oled-pg32ucdm-315-3840-x-2160-240-hz-monitor-pg32ucdm,1122.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
MSI PRO MP225V,https://pcpartpicker.com/product/Ltkqqs/msi-pro-mp225v-214-1920-x-1080-100-hz-monitor-pro-mp225v,64.99,21.4,"1920,1080",100,4,VA,16:9
Asus TUF Gaming VG27AQ,https://pcpartpicker.com/product/pGqBD3/asus-tuf-gaming-vg27aq-270-2560x1440-165-hz-monitor-vg27aq,256.12,27,"2560,1440",165,1,IPS,16:9
Asus ROG Swift PG32UQX,https://pcpartpicker.com/product/sTYmP6/asus-rog-swift-pg32uqx-320-3840x2160-144-hz-monitor-rog-swift-pg32uqx,9897.5,32,"3840,2160",144,4,IPS,16:9
Samsung Odyssey Neo G95NC,https://pcpartpicker.com/product/3Rqrxr/samsung-odyssey-neo-g95nc-570-7680-x-2160-240-hz-curved-monitor-ls57cg952nnxza,30829.98,57,"7680,2160",240,1,VA,32:9
MSI MAG 244F,https://pcpartpicker.com/product/T8Pv6h/msi-mag-244f-238-1920-x-1080-200-hz-monitor-mag-244f,99.99,23.8,"1920,1080",200,0.5,IPS,16:9
AOC Agon PRO AG276QZD2,https://pcpartpicker.com/product/7LzXsY/aoc-agon-pro-ag276qzd2-267-2560-x-1440-240-hz-monitor-ag276qzd2,588.9,26.7,"2560,1440",240,0.03,QD-OLED,16:9
