name,part_url,price,socket,form_factor,max_memory,memory_slots,color
MSI B650 GAMING PLUS WIFI,https://pcpartpicker.com/product/szfxFT/msi-b650-gaming-plus-wifi-atx-am5-motherboard-b650-gaming-plus-wifi,246.95,AM5,ATX,192,4,Black
MSI MAG B850 TOMAHAWK MAX WIFI,https://pcpartpicker.com/product/vjpD4D/msi-mag-b850-tomahawk-max-wifi-atx-am5-motherboard-mag-b850-tomahawk-max-wifi,247,AM5,ATX,256,4,Black / Green
Asus B650E MAX GAMING WIFI W,https://pcpartpicker.com/product/QtnXsY/asus-b650e-max-gaming-wifi-w-atx-am5-motherboard-b650e-max-gaming-wifi-w,159.99,AM5,ATX,256,4,White
Asus PRIME B550M-A WIFI II,https://pcpartpicker.com/product/jQrRsY/asus-prime-b550m-a-wifi-ii-micro-atx-am4-motherboard-prime-b550m-a-wifi-ii,126.99,AM4,Micro ATX,128,4,Blue / Silver
Gigabyte B850 AORUS ELITE WIFI7,https://pcpartpicker.com/product/72RnTW/gigabyte-b850-aorus-elite-wifi7-atx-am5-motherboard-b850-aorus-elite-wifi7,252.38,AM5,ATX,256,4,Black
Asus TUF GAMING B850-PLUS WIFI,https://pcpartpicker.com/product/sRG2FT/asus-tuf-gaming-b850-plus-wifi-atx-am5-motherboard-tuf-gaming-b850-plus-wifi,210.33,AM5,ATX,256,4,Black / Silver
Asus TUF GAMING B650E-E WIFI,https://pcpartpicker.com/product/K8XMnQ/asus-tuf-gaming-b650e-e-wifi-atx-am5-motherboard-tuf-gaming-b650e-e-wifi,169.99,AM5,ATX,256,4,Black
Gigabyte B550 EAGLE WIFI6,https://pcpartpicker.com/product/fzNscf/gigabyte-b550-eagle-wifi6-atx-am4-motherboard-b550-eagle-wifi6,111.99,AM4,ATX,128,4,Black
Gigabyte A520M K V2,https://pcpartpicker.com/product/ZjCZxr/gigabyte-a520m-k-v2-micro-atx-am4-motherboard-a520m-k-v2,77,AM4,Micro ATX,64,2,Brown / Black
Asus ROG STRIX B850-A GAMING WIFI,https://pcpartpicker.com/product/d4CCmG/asus-rog-strix-b850-a-gaming-wifi-atx-am5-motherboard-rog-strix-b850-a-gaming-wifi,258.99,AM5,ATX,192,4,White
MSI B550M PRO-VDH WIFI,https://pcpartpicker.com/product/PDsnTW/msi-b550m-pro-vdh-wifi-micro-atx-am4-motherboard-b550m-pro-vdh-wifi,125.99,AM4,Micro ATX,128,4,Black
ASRock B850M Pro-A WiFi,https://pcpartpicker.com/product/FFdMnQ/asrock-b850m-pro-a-wifi-micro-atx-am5-motherboard-b850m-pro-a-wifi,139.99,AM5,Micro ATX,256,4,Black
Gigabyte X870E AORUS ELITE WIFI7,https://pcpartpicker.com/product/pLtLrH/gigabyte-x870e-aorus-elite-wifi7-atx-am5-motherboard-x870e-aorus-elite-wifi7,321.99,AM5,ATX,256,4,Black
Asus Z790 GAMING WIFI7,https://pcpartpicker.com/product/ZMxxFT/asus-z790-gaming-wifi7-atx-lga1700-motherboard-z790-gaming-wifi7,149.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte B550M GAMING X WIFI6,https://pcpartpicker.com/product/sd9nTW/gigabyte-b550m-gaming-x-wifi6-micro-atx-am4-motherboard-b550m-gaming-x-wifi6,108.99,AM4,Micro ATX,128,4,Gray / Black
Gigabyte B650 EAGLE AX,https://pcpartpicker.com/product/CvcgXL/gigabyte-b650-eagle-ax-atx-am5-motherboard-b650-eagle-ax,164.99,AM5,ATX,192,4,Gray / Black
MSI MAG B550 TOMAHAWK MAX WIFI,https://pcpartpicker.com/product/MfZ9TW/msi-mag-b550-tomahawk-max-wifi-atx-am4-motherboard-mag-b550-tomahawk-max-wifi,180.38,AM4,ATX,128,4,Silver / Black
Asus ROG STRIX B550-F GAMING WIFI II,https://pcpartpicker.com/product/K4LFf7/asus-rog-strix-b550-f-gaming-wifi-ii-atx-am4-motherboard-strix-b550-f-gaming-wifi-ii,139.99,AM4,ATX,128,4,Black / Red
Asus ROG CROSSHAIR X870E EXTREME,https://pcpartpicker.com/product/NDkqqs/asus-rog-crosshair-x870e-extreme-eatx-am5-motherboard-rog-crosshair-x870e-extreme,1219.99,AM5,EATX,256,4,Black / Silver
Gigabyte B550M K,https://pcpartpicker.com/product/RH9wrH/gigabyte-b550m-k-micro-atx-am4-motherboard-b550m-k,93.99,AM4,Micro ATX,128,4,Brown / Silver
MSI MAG B650 TOMAHAWK WIFI,https://pcpartpicker.com/product/LwNxFT/msi-mag-b650-tomahawk-wifi-atx-am5-motherboard-mag-b650-tomahawk-wifi,189,AM5,ATX,256,4,Black
MSI MAG X870 TOMAHAWK WIFI,https://pcpartpicker.com/product/WzzXsY/msi-mag-x870-tomahawk-wifi-atx-am5-motherboard-mag-x870-tomahawk-wifi,271.99,AM5,ATX,256,4,Black
Gigabyte B650M GAMING PLUS WIFI,https://pcpartpicker.com/product/9HTZxr/gigabyte-b650m-gaming-plus-wifi-micro-atx-am5-motherboard-b650m-gaming-plus-wf,258.4,AM5,Micro ATX,192,4,Silver / Black
Gigabyte B760M GAMING PLUS WIFI DDR4,https://pcpartpicker.com/product/NMWJ7P/gigabyte-b760m-gaming-plus-wifi-ddr4-micro-atx-lga1700-motherboard-b760m-g-p-wifi-ddr4,159.99,LGA1700,Micro ATX,128,4,Black / Silver
ASRock B450M-HDV R4.0,https://pcpartpicker.com/product/RD97YJ/asrock-b450m-hdv-r40-micro-atx-am4-motherboard-b450m-hdv-r40,71.5,AM4,Micro ATX,64,2,Black / White
MSI PRO B760-P WIFI DDR4,https://pcpartpicker.com/product/yMGbt6/msi-pro-b760-p-wifi-ddr4-atx-lga1700-motherboard-pro-b760-p-wifi-ddr4,161.99,LGA1700,ATX,128,4,Black
Asus ROG STRIX X870E-E GAMING WIFI,https://pcpartpicker.com/product/MfNYcf/asus-rog-strix-x870e-e-gaming-wifi-atx-am5-motherboard-rog-strix-x870e-e-gaming-wifi,403.67,AM5,ATX,256,4,Black
ASRock B850I Lightning WiFi,https://pcpartpicker.com/product/9hqNnQ/asrock-b850i-lightning-wifi-mini-itx-am5-motherboard-b850i-lightning-wifi,210.99,AM5,Mini ITX,128,2,Black
Asus TUF GAMING B550-PLUS WIFI II,https://pcpartpicker.com/product/pLNxFT/asus-tuf-gaming-b550-plus-wifi-ii-atx-am4-motherboard-tuf-gaming-b550-plus-wifi-ii,143.99,AM4,ATX,128,4,Black / Gray
Gigabyte B850 GAMING X WIFI6E,https://pcpartpicker.com/product/9xYfrH/gigabyte-b850-gaming-x-wifi6e-atx-am5-motherboard-b850-gaming-x-wifi6e,201.99,AM5,ATX,256,4,Gray / Black
Gigabyte X870 AORUS ELITE WIFI7 ICE,https://pcpartpicker.com/product/HZtLrH/gigabyte-x870-aorus-elite-wifi7-ice-atx-am5-motherboard-x870-aorus-elite-wifi7-ice,271.49,AM5,ATX,256,4,White
ASRock B650M Pro RS,https://pcpartpicker.com/product/FcbRsY/asrock-b650m-pro-rs-micro-atx-am5-motherboard-b650m-pro-rs,99.99,AM5,Micro ATX,256,4,Black / Silver
Asus ROG STRIX X870-A GAMING WIFI,https://pcpartpicker.com/product/ybBzK8/asus-rog-strix-x870-a-gaming-wifi-atx-am5-motherboard-rog-strix-x870-a-gaming-wifi,243.99,AM5,ATX,256,4,White
Asus ROG STRIX B850-I GAMING WIFI,https://pcpartpicker.com/product/ysJBD3/asus-rog-strix-b850-i-gaming-wifi-mini-itx-am5-motherboard-rog-strix-b850-i-gaming-wifi,355.99,AM5,Mini ITX,96,2,Black
Gigabyte B550 UD AC,https://pcpartpicker.com/product/wjXV3C/gigabyte-b550-ud-ac-atx-am4-motherboard-b550-ud-ac,119.99,AM4,ATX,128,4,Brown / Black
Asus ROG ZENITH II EXTREME ALPHA,https://pcpartpicker.com/product/zcyqqs/asus-rog-zenith-ii-extreme-alpha-eatx-strx4-motherboard-rog-zenith-ii-extreme-alpha,,sTRX4,EATX,256,8,Black / Silver
ASRock B650M Pro RS WiFi,https://pcpartpicker.com/product/qcbRsY/asrock-b650m-pro-rs-wifi-micro-atx-am5-motherboard-b650m-pro-rs-wifi,146.99,AM5,Micro ATX,256,4,Black / Silver
Gigabyte A520I AC,https://pcpartpicker.com/product/s6tKHx/gigabyte-a520i-ac-mini-itx-am4-motherboard-a520i-ac,122.99,AM4,Mini ITX,64,2,Black
MSI MPG B550 GAMING PLUS,https://pcpartpicker.com/product/yKVG3C/msi-mpg-b550-gaming-plus-atx-am4-motherboard-mpg-b550-gaming-plus,132.98,AM4,ATX,128,4,Black
Gigabyte TRX40 DESIGNARE,https://pcpartpicker.com/product/z4NgXL/gigabyte-trx40-designare-xl-atx-strx4-motherboard-trx40-designare,,sTRX4,XL ATX,256,8,Black / Silver
Asus B760M-AYW WIFI D4 II,https://pcpartpicker.com/product/B8jv6h/asus-b760m-ayw-wifi-d4-ii-micro-atx-lga1700-motherboard-b760m-ayw-wifi-d4-ii,123.99,LGA1700,Micro ATX,64,2,Black / Silver
MSI PRO Z790-A MAX WIFI,https://pcpartpicker.com/product/CsvD4D/msi-pro-z790-a-max-wifi-atx-lga1700-motherboard-pro-z790-a-max-wifi,303.08,LGA1700,ATX,256,4,Silver / Black
Asus TUF GAMING B650-PLUS WIFI,https://pcpartpicker.com/product/Pz2WGX/asus-tuf-gaming-b650-plus-wifi-atx-am5-motherboard-tuf-gaming-b650-plus-wifi,137,AM5,ATX,128,4,Black
Gigabyte B550M AORUS ELITE AX,https://pcpartpicker.com/product/YhtLrH/gigabyte-b550m-aorus-elite-ax-micro-atx-am4-motherboard-b550m-aorus-elite-ax,119.99,AM4,Micro ATX,128,4,Black / Silver
Asus TUF GAMING B650E-PLUS WIFI,https://pcpartpicker.com/product/6mCCmG/asus-tuf-gaming-b650e-plus-wifi-atx-am5-motherboard-tuf-gaming-b650e-plus-wifi,213.99,AM5,ATX,256,4,Black / Silver
Asus ROG STRIX B850-F GAMING WIFI,https://pcpartpicker.com/product/9hy8TW/asus-rog-strix-b850-f-gaming-wifi-atx-am5-motherboard-rog-strix-b850-f-gaming-wifi,310,AM5,ATX,192,4,Black
Gigabyte B650 GAMING X AX V2,https://pcpartpicker.com/product/cPNYcf/gigabyte-b650-gaming-x-ax-v2-atx-am5-motherboard-b650-gaming-x-ax-v2,169.99,AM5,ATX,192,4,Gray / Black
MSI PRO B550M-VC WIFI,https://pcpartpicker.com/product/tr4Ycf/msi-pro-b550m-vc-wifi-micro-atx-am4-motherboard-pro-b550m-vc-wifi,91.98,AM4,Micro ATX,128,4,Black
MSI PRO H610M-G DDR4,https://pcpartpicker.com/product/hPWzK8/msi-pro-h610m-g-ddr4-micro-atx-lga1700-motherboard-pro-h610m-g-ddr4,127.99,LGA1700,Micro ATX,64,2,Black / Silver
MSI B850 GAMING PLUS WIFI6E,https://pcpartpicker.com/product/CpQwrH/msi-b850-gaming-plus-wifi6e-atx-am5-motherboard-b850-gaming-plus-wifi6e,181.99,AM5,ATX,256,4,Silver
MSI Z890 GAMING PLUS WIFI,https://pcpartpicker.com/product/42grxr/msi-z890-gaming-plus-wifi-atx-lga1851-motherboard-z890-gaming-plus-wifi,221.99,LGA1851,ATX,256,4,Black
Gigabyte B850 EAGLE WIFI6E,https://pcpartpicker.com/product/Rf8Pxr/gigabyte-b850-eagle-wifi6e-atx-am5-motherboard-b850-eagle-wifi6e,133.99,AM5,ATX,256,4,Gray / Black
Asus TUF GAMING B850M-PLUS WIFI,https://pcpartpicker.com/product/c3FCmG/asus-tuf-gaming-b850m-plus-wifi-micro-atx-am5-motherboard-tuf-gaming-b850m-plus-wifi,198.48,AM5,Micro ATX,256,4,Black
MSI B550-A PRO,https://pcpartpicker.com/product/7gxbt6/msi-b550-a-pro-atx-am4-motherboard-b550-a-pro,128.42,AM4,ATX,128,4,Black / Silver
MSI PRO B850-S WIFI6E,https://pcpartpicker.com/product/GP7MnQ/msi-pro-b850-s-wifi6e-atx-am5-motherboard-pro-b850-s-wifi6e,149.99,AM5,ATX,256,4,Black
ASRock B550M-HDV,https://pcpartpicker.com/product/LKLwrH/asrock-b550m-hdv-micro-atx-am4-motherboard-b550m-hdv,87.99,AM4,Micro ATX,64,2,Black
MSI A520M-A PRO,https://pcpartpicker.com/product/nZTzK8/msi-a520m-a-pro-micro-atx-am4-motherboard-a520m-a-pro,64.99,AM4,Micro ATX,64,2,Black
Gigabyte B850 AORUS ELITE WIFI7 ICE,https://pcpartpicker.com/product/VtJBD3/gigabyte-b850-aorus-elite-wifi7-ice-atx-am5-motherboard-b850-aorus-elite-wifi7-ice,224.99,AM5,ATX,256,4,White / Silver
