name,part_url,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G305 LIGHTSPEED,https://pcpartpicker.com/product/Yrw7YJ/logitech-g305-lightspeed-wirelesswired-optical-mouse-910-005280,29.49,Optical,"Wired, Wireless",12000,Right,Black
Logitech G502 Hero,https://pcpartpicker.com/product/7RbwrH/logitech-g502-hero-wired-optical-mouse-910-005469,35.99,Optical,Wired,25600,Right,Black
Logitech PRO X Superlight 2,https://pcpartpicker.com/product/QzHqqs/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006628,185.99,Optical,"Wired, Wireless",32000,Right,Black
Razer Basilisk V3,https://pcpartpicker.com/product/NQBG3C/razer-basilisk-v3-wired-optical-mouse-rz01-04000100-r3u1,45.99,Optical,Wired,26000,Right,Black
Asus ROG Harpe Ace Extreme,https://pcpartpicker.com/product/qtV2FT/asus-rog-harpe-ace-extreme-wiredbluetoothwireless-optical-mouse-rog-harpe-ace-extreme,229.99,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black
Razer Viper V3 Pro,https://pcpartpicker.com/product/sDgrxr/razer-viper-v3-pro-wirelesswired-optical-mouse-rz01-05120100-r3u1,126.99,Optical,"Wired, Wireless",35000,Right,Black
Logitech G305 LIGHTSPEED,https://pcpartpicker.com/product/4CMwrH/logitech-g305-lightspeed-wirelesswired-optical-mouse-910-005289,49.45,Optical,"Wired, Wireless",12000,Right,White
Lenovo GX30M39704 300,https://pcpartpicker.com/product/ZPm323/lenovo-gx30m39704-300-wired-laser-mouse-gx30m39704,7.49,Laser,Wired,,Both,Black / Orange
Logitech G Pro X Superlight,https://pcpartpicker.com/product/yY4BD3/logitech-g-pro-x-superlight-wireless-optical-mouse-910-005878,89.99,Optical,Wireless,25400,Right,Black
Kensington K76801WW,https://pcpartpicker.com/product/HfMTwP/kensington-k76801ww-wirelesswired-optical-mouse-k76801ww,,Optical,"Wired, Wireless",1000,Both,Black
Logitech G502 LIGHTSPEED,https://pcpartpicker.com/product/t9x2FT/logitech-g502-lightspeed-wireless-optical-mouse-910-005565,99.99,Optical,Wireless,25600,Right,Black
Logitech PRO X Superlight 2,https://pcpartpicker.com/product/FTjRsY/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006636,197.43,Optical,"Wired, Wireless",32000,Right,White
Razer DeathAdder Essential,https://pcpartpicker.com/product/RBKKHx/razer-deathadder-essential-wired-optical-mouse-rz01-03850100-r3u1,22.98,Optical,Wired,6400,Right,Black / Green
Logitech G502 X Plus,https://pcpartpicker.com/product/J86p99/logitech-g502-x-plus-wirelesswired-optical-mouse-910-006160,159.99,Optical,"Wired, Wireless",25600,Right,Black
Logitech G303 Daedalus Apex,https://pcpartpicker.com/product/wwPzK8/logitech-mouse-910004380,408,Optical,Wired,12000,Right,Black / Orange
Razer Basilisk V3 Pro,https://pcpartpicker.com/product/HyJgXL/razer-basilisk-v3-pro-wiredbluetoothwireless-optical-mouse-rz01-04620100-r3u1,99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech B100,https://pcpartpicker.com/product/JGCwrH/logitech-mouse-910001439,7.99,Optical,Wired,800,,Black
Logitech G502 X Plus,https://pcpartpicker.com/product/FRZ9TW/logitech-g502-x-plus-wirelesswired-optical-mouse-910-006169,179.99,Optical,"Wired, Wireless",25600,Right,White
Logitech G700s,https://pcpartpicker.com/product/29V48d/logitech-mouse-910003584,,Laser,Wireless,8200,Right,Black
Logitech G203 Lightsync,https://pcpartpicker.com/product/TzQfrH/logitech-g203-lightsync-wired-optical-mouse-910-005790,26.95,Optical,Wired,8000,Right,Black
Razer Viper V3 Pro,https://pcpartpicker.com/product/yYFmP6/razer-viper-v3-pro-wirelesswired-optical-mouse-rz01-05120200-r3u1,127.99,Optical,"Wired, Wireless",35000,Right,White
Logitech G Pro,https://pcpartpicker.com/product/vJ448d/logitech-g-pro-wirelesswired-optical-mouse-910-005270,99,Optical,"Wired, Wireless",25600,Both,Black
Logitech PRO X SUPERLIGHT 2 DEX,https://pcpartpicker.com/product/yw9wrH/logitech-pro-x-superlight-2-dex-wiredwireless-optical-mouse-910-007328,160.99,Optical,"Wired, Wireless",44000,Right,Black
Redragon COBRA M711,https://pcpartpicker.com/product/dZQG3C/redragon-cobra-m711-wired-optical-mouse-cobra-m711,18.98,Optical,Wired,10000,Right,Black / Multicolor
Logitech G Pro X Superlight,https://pcpartpicker.com/product/dZsnTW/logitech-g-pro-x-superlight-wireless-optical-mouse-910-005940,114,Optical,Wireless,25400,Right,White
Lenovo K5923,https://pcpartpicker.com/product/d4rG3C/lenovo-mouse-0c51641,,Touchpad,Wireless,,Both,Black
Razer DeathAdder Essential,https://pcpartpicker.com/product/pFcG3C/razer-deathadder-essential-wired-optical-mouse-rz01-03850200-r3u1,24.99,Optical,Wired,6400,Right,White
Razer Viper V3 HyperSpeed,https://pcpartpicker.com/product/NDXV3C/razer-viper-v3-hyperspeed-wireless-optical-mouse-rz01-04910100-r3u1,70.99,Optical,Wireless,30000,Right,Black
Razer Basilisk V3 Pro 35K,https://pcpartpicker.com/product/nP26Mp/razer-basilisk-v3-pro-35k-bluetoothwirelesswired-optical-mouse-rz01-05240100-r3u1,159,Optical,"Wired, Wireless, Bluetooth Wireless",35000,Right,Black
Asus TUF GAMING Mini Hatsune Miku Edition,https://pcpartpicker.com/product/nzsMnQ/asus-tuf-gaming-mini-hatsune-miku-edition-bluetoothwirelesswired-optical-mouse-90mp0420-bmua00,125.06,Optical,"Wired, Wireless, Bluetooth Wireless",12000,Both,White / Teal
Logitech G502 X,https://pcpartpicker.com/product/6VjBD3/logitech-g502-x-wirelesswired-optical-mouse-910-006178,119.99,Optical,"Wired, Wireless",25600,Right,Black
Corsair SCIMITAR RGB ELITE,https://pcpartpicker.com/product/X8848d/corsair-scimitar-rgb-elite-wired-optical-mouse-ch-9304211-na,102.99,Optical,Wired,18000,Right,Black
Corsair DARK CORE RGB PRO SE,https://pcpartpicker.com/product/LwpmP6/corsair-dark-core-rgb-pro-se-wireless-optical-mouse-ch-9315511-na,78.98,Optical,Wireless,18000,Right,Black
Razer Basilisk V3 X Hyperspeed,https://pcpartpicker.com/product/K3yH99/razer-basilisk-v3-x-hyperspeed-bluetoothwirelesswired-optical-mouse-rz01-04870100-r3u1,46.98,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
