name,part_url,price,bd,dvd,cd,bd_write,dvd_write,cd_write
Lite-On iHAS124-14,https://pcpartpicker.com/product/6fJwrH/lite-on-optical-drive-ihas12414,43.99,,16,48,,24/8/8/24/6/8/5,48/24
LG BH16NS40,https://pcpartpicker.com/product/WXK7YJ/lg-bh16ns40-blu-raydvdcd-writer-bh16ns40,212.99,12,16,48,16/12/2/-,16/8/8/16/6/8/5,48/24
LG WH14NS40,https://pcpartpicker.com/product/z2dqqs/lg-optical-drive-wh14ns40,,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
Asus BW-16D1HT,https://pcpartpicker.com/product/qHdqqs/asus-optical-drive-bw16d1ht,129.99,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
LG GH24NSD5,https://pcpartpicker.com/product/tDrmP6/lg-gh24nsd5-dvdcd-writer-gh24nsd5,166.69,,16,48,,24/8/12/8/6/12/12,48/24
Asus DRW-24B1ST/BLK/B/AS,https://pcpartpicker.com/product/2v9KHx/asus-optical-drive-drw24b1stblkbas,27.99,,16,48,,24/8/12/24/6/12/12,48/32
Pioneer BDR-212DBK,https://pcpartpicker.com/product/cX6qqs/pioneer-bdr-212dbk-blu-raydvdcd-writer-bdr-212dbk,,,,,16/14/2/2,16/8/8/16/6/8/5,40/24
Asus DRW-24D5MT,https://pcpartpicker.com/product/wh38TW/asus-drw-24d5mt-dvdcd-writer-drw-24d5mt,,,16,48,,16/13/12/16/8/12/5,48/40
LG BU40N,https://pcpartpicker.com/product/WCmNnQ/lg-bu40n-blu-raydvdcd-writer-bu40n,147.98,,,,6/6/2/6,8/8/6/8/6/6/5,24/16
Asus BW-14D1XT,https://pcpartpicker.com/product/Xhbp99/asus-optical-drive-bw14d1xt,,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
LG WH16NS40,https://pcpartpicker.com/product/QZ6BD3/lg-optical-drive-wh16ns40,,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
Asus DRW-24F1ST,https://pcpartpicker.com/product/wT2kcf/asus-optical-drive-drw24f1st,64.99,,16,48,,24/8/8/24/6/8/5,48/24
Panasonic UJ-265,https://pcpartpicker.com/product/XZx9TW/panasonic-optical-drive-uj265,,6,8,24,6/6/-/-,8/8/6/8/8/6/-,24/16
Samsung SH-224DB/BEBE,https://pcpartpicker.com/product/y4xfrH/samsung-optical-drive-sh224dbbebe,96.99,,16,48,,24/8/8/24/6/8/12,48/24
Pioneer BDR-209DBK,https://pcpartpicker.com/product/48Lypg/pioneer-optical-drive-bdr209dbk,,12,16,40,16/14/2/2,16/8/8/16/6/8/-,40/24
Asus BC-12D2HT,https://pcpartpicker.com/product/6d3RsY/asus-optical-drive-bc12d2ht,,,,,12/8/8/6,16/8/8/6/12/8/5,48/24
Plextor PX-891SAF,https://pcpartpicker.com/product/k68H99/plextor-px-891saf-dvdcd-writer-px-891saf,43.95,,16,48,,24/8/12/24/6/12/12,48/32
LG GH24NSB0,https://pcpartpicker.com/product/PWNp99/lg-optical-drive-gh24nsb0,48.99,,16,48,,24/8/8/24/6/8/5,48/24
LG GH24NSD1,https://pcpartpicker.com/product/hC648d/lg-optical-drive-gh24nsd1,,,16,48,,24/8/16/24/6/12/12,48/32
LG GTB0N,https://pcpartpicker.com/product/gkL7YJ/lg-optical-drive-gtb0n,37.17,,8,24,,8/6/6/8/6/6/5,24/24
HP QS208AA,https://pcpartpicker.com/product/PT6BD3/hp-optical-drive-qs208aa,71.99,,16,48,,16/8/8/-/6/8/-,48/32
Pioneer BDR-S13UBK,https://pcpartpicker.com/product/3PMMnQ/pioneer-bdr-s13ubk-dvd-reader-blu-raycd-writer-bdr-s13ubk,,12,16,48,16/14/2/2,,48/40
Pioneer BDR-211UBK,https://pcpartpicker.com/product/32s8TW/pioneer-bdr-211ubk-blu-raydvdcd-writer-bdr-211ubk,,12,16,40,16/14/2/2,16/8/8/16/6/8/5,40/24
Samsung SN-208DB/BEBE,https://pcpartpicker.com/product/NBkD4D/samsung-optical-drive-sn208dbbebe,134.99,,8,24,,8/8/6/8/6/6/5,24/24
LG WH16NS60,https://pcpartpicker.com/product/s3ZFf7/lg-wh16ns60-dvdcd-writer-wh16ns60,,,,,16/12/-/-,-/-/-/-/-/-/5,48/24
Lite-On iHAS124-04,https://pcpartpicker.com/product/xNmLrH/lite-on-optical-drive-ihas124-04,,,16,48,,24/8/8/24/6/-/12,48/32
Sony AD-7280S-0B,https://pcpartpicker.com/product/FPrG3C/sony-optical-drive-ad7280s0b,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On DH-16AFSH,https://pcpartpicker.com/product/Z9yV3C/lite-on-dh-16afsh-dvdcd-writer-dh-16afsh,,,,,,16/8/8/16/6/8/-,48/24
Sony BD-5300S,https://pcpartpicker.com/product/GKrG3C/sony-optical-drive-bd5300s,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
Samsung SH-222AB,https://pcpartpicker.com/product/4HmLrH/samsung-optical-drive-sh222ab,103.98,,16,48,,22/8/16/22/6/12/12,48/24
LG GH24NSC0,https://pcpartpicker.com/product/CcCrxr/lg-optical-drive-gh24nsc0,,,16,48,,24/8/8/24/6/8/5,48/24
Asus BW-12B1ST/BLK/G/AS,https://pcpartpicker.com/product/vPphP6/asus-optical-drive-bw12b1stblkgas,,8,16,48,12/4/2/2,16/8/8/16/6/8/12,48/24
Pioneer DVR-216D,https://pcpartpicker.com/product/3dsnTW/pioneer-dvr-216d-dvdcd-writer-dvr-216d,,,16,40,,20/8/12/20/32/12/-,40/32
LG BH16NS55.AUAR10B,https://pcpartpicker.com/product/P34NnQ/lg-bh16ns55auar10b-blu-raydvdcd-writer-bh16ns55auar10b,,,,40,8/8/8/6,16/12/12/16/12/12/5,48/40
LG GGC-H20L,https://pcpartpicker.com/product/ck98TW/lg-optical-drive-ggch20l,,6,16,40,,,
Asus BC-12B1ST/BLK/B/AS,https://pcpartpicker.com/product/hCR48d/asus-optical-drive-bc12b1stblkbas,,12,16,48,,16/8/8/16/6/8/12,48/24
HP AR629AA,https://pcpartpicker.com/product/ydK7YJ/hp-optical-drive-ar629aa,,,16,48,,,
Pioneer BDR-S12XLT,https://pcpartpicker.com/product/7JpD4D/pioneer-bdr-s12xlt-blu-raydvdcd-writer-bdr-s12xlt,,16,16,40,16/14/2/2,16/8/8/16/6/8/5,40/24
LG GS40N,https://pcpartpicker.com/product/pf7CmG/lg-optical-drive-gs40n,,,8,24,,8/8/6/8/6/6/5,24/16
Samsung SH-224BB,https://pcpartpicker.com/product/RdLypg/samsung-optical-drive-sh224bb,,,16,48,,24/8/8/24/6/8/12,48/24
Asus DVD-E818AAT/BLK/B/GE,https://pcpartpicker.com/product/RPx9TW/asus-optical-drive-dvde818aatblkbge,,,18,48,,,
Asus SDRW-08U1MT,https://pcpartpicker.com/product/bD4Zxr/asus-sdrw-08u1mt-dvdcd-writer-sdrw-08u1mt,63.14,,,24,,8/8/6/8/6/6/5,24/24
Asus DRW-24B3ST/BLK/G/AS,https://pcpartpicker.com/product/W8V48d/asus-optical-drive-drw24b3stblkgas,,,16,48,,24/8/12/24/6/12/12,48/24
LG UH12NS30,https://pcpartpicker.com/product/NJh9TW/lg-optical-drive-uh12ns30,,12,16,,,16/8/8/16/6/8/5,48/24
Pioneer BDR-212EBK,https://pcpartpicker.com/product/QVNgXL/pioneer-bdr-212ebk-blu-ray-reader-dvdcd-writer-bdr-212ebk,,16,,,,16/-/-/16/-/-/-,40/-
Silverstone SOB03,https://pcpartpicker.com/product/jyD7YJ/silverstone-sob03-blu-raydvdcd-writer-sst-sob03,,6,8,24,6/6/2/2,8/8/4/8/6/4/5,24/10
Memorex 98240,https://pcpartpicker.com/product/J3TmP6/memorex-optical-drive-98240,,,16,48,,24/6/8/24/6/8/-,48/32
Asus DVDE818A7T/BLK/B/GEN,https://pcpartpicker.com/product/p7Np99/asus-optical-drive-dvde818a7tblkbgen,,,18,48,,16/10/8/16/10/8/5,
LG BH12LS35,https://pcpartpicker.com/product/tv38TW/lg-optical-drive-bh12ls35,,,,,12/12/2/2,16/12/12/16/12/12/12,48/24
Silverstone TOB04,https://pcpartpicker.com/product/fzpmP6/silverstone-tob04-blu-raydvdcd-writer-sst-tob04,,6,8,24,6/6/6/4,8/8/8/8/8/8/8,24/24
LG GUD0N,https://pcpartpicker.com/product/6dn9TW/lg-gud0n-dvdcd-writer-gud0n,39,,,,,8/6/6/8/6/6/5,24/24
Sony BD-5740H-01,https://pcpartpicker.com/product/CNbp99/sony-optical-drive-bd5740h01,,6,8,24,6/6/2/2,8/8/6/8/6/6/5,24/16
LG BH14NS40,https://pcpartpicker.com/product/J9MFf7/lg-optical-drive-bh14ns40,,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
Sony AD-7280S-02,https://pcpartpicker.com/product/MyMFf7/sony-optical-drive-ad7280s02,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On DS-8ABSH-01,https://pcpartpicker.com/product/ZsyFf7/lite-on-optical-drive-ds8absh01,,,8,24,,8/8/6/8/6/6/5,24/24
Lite-On IHBS112-04,https://pcpartpicker.com/product/DtDwrH/lite-on-optical-drive-ihbs11204,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/48
HP 447328-B21,https://pcpartpicker.com/product/TGZQzy/hp-optical-drive-447328b21,,,16,50,,16/8/-/16/8/-/-,40/32
Samsung SH-B123L/RSBP,https://pcpartpicker.com/product/HXw323/samsung-optical-drive-shb123lrsbp,,12,16,48,,16/8/8/16/16/8/12,48/24
LG GH24NS95,https://pcpartpicker.com/product/MD9KHx/lg-optical-drive-gh24ns95,,,16,48,,24/8/8/24/6/8/5,48/24
LG GH24NSC0B,https://pcpartpicker.com/product/9nQRsY/lg-optical-drive-gh24nsc0b,,,16,48,,24/8/8/24/6/8/5,48/24
LG BH10LS30,https://pcpartpicker.com/product/JgJkcf/lg-optical-drive-bh10ls30,,6,16,48,10/8/8/6,16/8/8/16/8/8/12,48/24
Asus DRW-24B3LT,https://pcpartpicker.com/product/HdR48d/asus-optical-drive-drw24b3lt,,,16,48,,24/8/12/24/6/12/12,48/24
Sony BWU-500S,https://pcpartpicker.com/product/TBV48d/sony-optical-drive-bwu500s,,8,16,48,12/8/2/2,8/8/6/8/6/6/5,24/16
Samsung SH-S203B,https://pcpartpicker.com/product/hKJgXL/samsung-sh-s203b-dvdcd-writer-sh-s203b,,,20,48,,20/8/12/20/6/12/12,32/48
I/O Magic IDVD22DL,https://pcpartpicker.com/product/CmsKHx/io-magic-optical-drive-idvd22dl,,,16,48,,22/8/16/22/6/16/12,48/32
LG GH24NS90,https://pcpartpicker.com/product/Xth9TW/lg-optical-drive-gh24ns90,,,16,48,,24/8/8/24/6/8/12,48/32
Lite-On DL-8A4SH-01,https://pcpartpicker.com/product/2qK7YJ/lite-on-optical-drive-dl8a4sh01,,,8,24,,8/8/6/8/6/6/5,24/24
Asus BC-12B1ST,https://pcpartpicker.com/product/JjGxFT/asus-bc-12b1st-dvdcd-writer-bc-12b1st,,,,,,16/8/8/16/6/8/12,48/24
Pioneer BDR-206MBK,https://pcpartpicker.com/product/rdh9TW/pioneer-optical-drive-bdr206mbk,,6,8,24,6/6/2/2,8/8/8/8/6/8/-,24/24
Lite-On iHDS118-04,https://pcpartpicker.com/product/JVphP6/lite-on-optical-drive-ihds11804,,,18,48,,,
LG WH12LS30,https://pcpartpicker.com/product/x4Lypg/lg-optical-drive-wh12ls30,,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
Lite-On IHBS312-98,https://pcpartpicker.com/product/gnzv6h/lite-on-optical-drive-ihbs31298,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
MSI DH-24AS U88,https://pcpartpicker.com/product/V7Qypg/msi-optical-drive-dh24asu88,,,16,48,,24/8/-/24/8/-/-,48/32
HP DVD1265I,https://pcpartpicker.com/product/fpfp99/hp-optical-drive-dvd1265i,,,16,48,,24/8/12/24/6/12/-,48/32
Pioneer BDR-211EBK,https://pcpartpicker.com/product/RLKcCJ/pioneer-bdr-211ebk-blu-raydvdcd-writer-bdr-211ebk,,,,,16/-/-/-,-/16/-/-/16/-/-,-/40
Samsung SH-S223C,https://pcpartpicker.com/product/7dQypg/samsung-optical-drive-shs223c,,,16,48,,22/8/16/22/6/12/12,48/32
HP 1270i,https://pcpartpicker.com/product/F7Np99/hp-optical-drive-hp1270i,,,16,48,,24/8/12/24/6/12/12,48/32
LG GH22NS50 Bulk,https://pcpartpicker.com/product/QpPfrH/lg-optical-drive-gh22ns50bulk,,,16,48,,22/8/-/22/8/-/12,48/32
Lite-On iHAS224-06,https://pcpartpicker.com/product/MzV48d/lite-on-optical-drive-ihas22406,,,16,48,,24/8/12/24/6/12/12,48/32
Buslink DBW-1647,https://pcpartpicker.com/product/cCYXsY/buslink-optical-drive-dbw1647,,,16,48,,16/4/4/16/4/-/-,48/32
