name,part_url,price,type,efficiency,wattage,modular,color
MSI MAG A750GL PCIE5,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5,116.99,ATX,gold,750,Full,Black
MSI MAG A850GL PCIE5,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5,149.65,ATX,gold,850,Full,Black
MSI MAG A650BN,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn,59.99,ATX,bronze,650,false,Black
Corsair RM850e (2025),https://pcpartpicker.com/product/zBbypg/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020296-na,130.98,ATX,,850,Full,Black
Corsair SF1000 (2024),https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257,199.99,SFX,platinum,1000,Full,Black
Montech CENTURY II,https://pcpartpicker.com/product/sqbypg/montech-century-ii-850-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-850w,98.9,ATX,gold,850,Full,Black
Corsair RM1000x (2024),https://pcpartpicker.com/product/XZsV3C/corsair-rm1000x-2024-1000-w-fully-modular-atx-power-supply-cp-9020271-na,253.99,ATX,,1000,Full,Black
MSI MAG A550BN,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn,54.99,ATX,bronze,550,false,Black
Thermaltake Smart,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500-w-80-certified-atx-power-supply-ps-spd-0500npcwus-w,39.99,ATX,plus,500,false,
Corsair RM850x (2024),https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na,142.99,ATX,,850,Full,Black
Corsair RM750e (2025),https://pcpartpicker.com/product/jfHp99/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020295-na,134.99,ATX,,750,Full,Black
Corsair CX750M (2021),https://pcpartpicker.com/product/JkKKHx/corsair-cx750m-2021-750-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020222-na,59.99,ATX,bronze,750,Semi,Black
MSI MAG A850GL PCIE5,https://pcpartpicker.com/product/LPBzK8/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5-white,124.99,ATX,gold,850,Full,White
Asus ROG THOR 1600T Gaming,https://pcpartpicker.com/product/7m6p99/asus-rog-thor-1600t-gaming-1600-w-80-titanium-certified-fully-modular-atx-power-supply-90ye00k0-b0na00,700.99,ATX,titanium,1600,Full,Silver / Black
Corsair SF750 (2024),https://pcpartpicker.com/product/TsTZxr/corsair-sf750-2024-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020284,194.99,SFX,platinum,750,Full,Black
Corsair RM650e (2025),https://pcpartpicker.com/product/6TBFf7/corsair-rm650e-2025-650-w-fully-modular-atx-power-supply-cp-9020302-na,104.99,ATX,,650,Full,Black
MSI MPG A1000GS PCIE5,https://pcpartpicker.com/product/2kXMnQ/msi-mpg-a1000gs-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000gs-pcie5,137,ATX,gold,1000,Full,Black
Corsair RM1000e (2025),https://pcpartpicker.com/product/B8YfrH/corsair-rm1000e-2025-1000-w-fully-modular-atx-power-supply-cp-9020297-na,160.99,ATX,,1000,Full,Black
Silverstone HELA,https://pcpartpicker.com/product/GMkWGX/silverstone-hela-2050-w-fully-modular-atx-power-supply-sst-ha2050-pt,20537.49,ATX,,2050,Full,Black / White
Asus ROG STRIX 1200P Gaming,https://pcpartpicker.com/product/qrDnTW/asus-rog-strix-1200p-gaming-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rog-strix-1200p-gaming,264.99,ATX,platinum,1200,Full,Black / Silver
