name,part_url,price,channels,digital_audio,snr,sample_rate,chipset,interface
Creative Labs Sound BlasterX AE-5 Plus,https://pcpartpicker.com/product/77VBD3/creative-labs-sound-blasterx-ae-5-plus-32-bit-384-khz-sound-card-70sb174000003,164.49,5.1,32,122,384,Sound Core3D,PCIe x1
Creative Labs ZXR,https://pcpartpicker.com/product/BVxfrH/creative-labs-sound-card-70sb151000000,,5.1,24,124,192,,PCIe x1
Creative Labs Sound Blaster AE-9,https://pcpartpicker.com/product/btK2FT/creative-labs-sound-blaster-ae-9-32-bit-384-khz-sound-card-70sb178000000,427.49,7.1,32,129,384,Sound Core3D,PCIe x1
Creative Labs Sound Blaster Audigy Fx V2,https://pcpartpicker.com/product/wVM48d/creative-labs-sound-blaster-audigy-fx-v2-24-bit-192-khz-sound-card-70sb187000000,54.99,5.1,24,120,192,,PCIe x1
Creative Labs Sound Blaster Z SE,https://pcpartpicker.com/product/H97G3C/creative-labs-sound-blaster-z-se-24-bit-192-khz-sound-card-70sb150000004,96.99,5.1,24,116,192,Sound Core3D,PCIe x1
Creative Labs Sound Blaster AE-7,https://pcpartpicker.com/product/nNNgXL/creative-labs-sound-blaster-ae-7-32-bit-384-khz-sound-card-sb1800,218.49,5.1,32,127,384,Sound Core3D,PCIe x1
Asus STRIX RAID DLX,https://pcpartpicker.com/product/4sL7YJ/asus-sound-card-strixraiddlx,,7.1,24,124,192,,PCIe x1
Asus Xonar AE,https://pcpartpicker.com/product/pngzK8/asus-xonar-ae-24-bit-192-khz-sound-card-90ya00p0-m0ua00,93.98,7.1,24,110,192,,PCIe x1
Creative Labs Sound BlasterX AE-5 Plus Pure,https://pcpartpicker.com/product/sJ6p99/creative-labs-sound-blasterx-ae-5-plus-pure-32-bit-384-khz-sound-card-70sb174000004,,5.1,32,122,384,Sound Core3D,PCIe x1
Asus STRIX SOAR,https://pcpartpicker.com/product/LmkwrH/asus-sound-card-strixsoar,134.17,7.1,24,116,192,,PCIe x1
Asus Xonar SE,https://pcpartpicker.com/product/HDHRsY/asus-xonar-se-24-bit-192-khz-sound-card-xonar-se,51.99,5.1,24,120,192,,PCIe x1
Creative Labs Sound Blaster Audigy Rx,https://pcpartpicker.com/product/LXxfrH/creative-labs-sound-blaster-audigy-rx-24-bit-192-khz-sound-card-70sb155000001,114.99,7.1,24,106,192,Creative E-MU,PCIe x1
Asus Xonar Essence STX,https://pcpartpicker.com/product/WCTmP6/asus-sound-card-xonaressencestx,,7.1,24,124,192,ASUS AV100,PCIe x1
Asus Essence STX II 7.1,https://pcpartpicker.com/product/8Pbp99/asus-sound-card-essencestxii71,,7.1,24,124,192,ASUS AV100,PCIe x1
Creative Labs Sound Blaster Zx,https://pcpartpicker.com/product/3nxfrH/creative-labs-sound-blaster-zx-24-bit-192-khz-sound-card-70sb150600000,,5.1,24,116,192,,PCIe x1
EVGA NU AUDIO PRO,https://pcpartpicker.com/product/Hy9tt6/evga-nu-audio-pro-32-bit-384-khz-sound-card-712-p1-an11-kr,,2,32,123,384,,PCIe x1
Creative Labs Sound Blaster Audigy Fx,https://pcpartpicker.com/product/yTvRsY/creative-labs-sound-blaster-audigy-fx-24-bit-192-khz-sound-card-30sb157000001,,5.1,24,106,192,,PCIe x1
Asus STRIX RAID PRO,https://pcpartpicker.com/product/92mxFT/asus-strix-raid-pro-24-bit-192-khz-sound-card-strix-raid-pro,,7.1,24,116,192,,PCIe x1
Creative Labs Sound Blaster X-Fi Titanium HD,https://pcpartpicker.com/product/2nzv6h/creative-labs-sound-card-70sb127000002,,7.1,24,122,96,X-Fi,PCIe x1
Asus Essence STX II,https://pcpartpicker.com/product/2rH48d/asus-essence-stx-ii-24-bit-192-khz-sound-card-essencestxii,,2,24,124,192,ASUS AV100,PCIe x1
Creative Labs Sound BlasterX AE-5 Pure,https://pcpartpicker.com/product/ccJgXL/creative-labs-sound-blasterx-ae-5-pure-32-bit-384-khz-sound-card-70sb174000001,,5.1,32,122,384,Sound Core3D,PCIe x1
Creative Labs Sound BlasterX AE-5,https://pcpartpicker.com/product/CyjBD3/creative-labs-sound-blasterx-ae-5-32-bit-384-khz-sound-card-70sb174000000,,5.1,32,122,384,Sound Core3D,PCIe x1
Asus Xonar DGX,https://pcpartpicker.com/product/zRckcf/asus-sound-card-xonardgx,,5.1,24,105,96,C-Media CMI8786,PCIe x1
Asus Xonar DX,https://pcpartpicker.com/product/9p6BD3/asus-sound-card-xonardx,,7.1,24,116,192,ASUS AV100,PCIe x1
Asus Xonar Phoebus,https://pcpartpicker.com/product/QNtCmG/asus-sound-card-xonarphoebus,,7.1,24,118,96,C-Media CMI8888DHT,PCIe x1
Creative Labs Sound Blaster Z w/Shield,https://pcpartpicker.com/product/HnxfrH/creative-labs-sound-blaster-z-wshield-24-bit-192-khz-sound-card-70sb150000000,,5.1,24,116,192,Sound Core3D,PCIe x1
Creative Labs Sound Blaster Z,https://pcpartpicker.com/product/Dmbp99/creative-labs-sound-blaster-z-24-bit-192-khz-sound-card-70sb150200000,,5.1,24,116,192,,PCIe x1
EVGA NU,https://pcpartpicker.com/product/6fQG3C/evga-nu-24-bit-192-khz-sound-card-712-p1-an01-kr,,5.1,24,123,192,,PCIe x1
StarTech PCISOUND4LP,https://pcpartpicker.com/product/rX8Zxr/startech-sound-card-pcisound4lp,204,4,16,,48,C-Media CMI8738,PCI
Creative Labs 70SB157000000,https://pcpartpicker.com/product/Tz2kcf/creative-labs-sound-card-70sb157000000,,5.1,,106,,,PCIe x1
Creative Labs Sound Blaster X-Fi Xtreme Audio,https://pcpartpicker.com/product/fjTmP6/creative-labs-sound-card-sb1042vp,,7.1,24,100,96,,PCIe x1
HT Omega eClaro,https://pcpartpicker.com/product/7Hckcf/ht-omega-sound-card-eclaro,,7.1,24,,192,C-Media CMI8788,PCIe x1
Asus Xonar DSX,https://pcpartpicker.com/product/NjTmP6/asus-sound-card-xonardsx,,7.1,24,107,192,ASUS AV66,PCIe x1
Creative Labs Sound Blaster Audigy2 ZS,https://pcpartpicker.com/product/sbsmP6/creative-labs-sound-blaster-audigy2-zs-24-bit-192-khz-sound-card-sb0350,175,5.1,24,,192,Audigy2,PCI
Creative Labs Sound Blaster Audigy SE,https://pcpartpicker.com/product/cPCwrH/creative-labs-sound-blaster-audigy-se-24-bit-96-khz-sound-card-70sb057000001,,7.1,24,,96,Audigy SE,PCI
Creative Labs Recon3D PCIe,https://pcpartpicker.com/product/mvrG3C/creative-labs-sound-card-70sb135000000,,5.1,24,102,96,Sound Core3D,PCIe x1
Creative Labs 70SB135A00002,https://pcpartpicker.com/product/hZ6BD3/creative-labs-sound-card-70sb135a00002,,5.1,24,102,96,Sound Core3D,PCIe x1
SIIG IC-510111-S2,https://pcpartpicker.com/product/ZDYXsY/siig-sound-card-ic510111s2,,5.1,24,90,96,VIA VT1723,PCIe x1
PowerColor DEVIL HDX 7.1,https://pcpartpicker.com/product/jP38TW/powercolor-devil-hdx-71-192-khz-sound-card-scm888-dhdx,,7.1,,124,192,,PCIe x1
Creative Labs Sound Blaster Audigy Rx OEM,https://pcpartpicker.com/product/bYH48d/creative-labs-sound-blaster-audigy-rx-oem-24-bit-192-khz-sound-card-30sb155000001,,7.1,24,106,192,Creative E-MU,PCIe x1
Creative Labs Sound Blaster X-Fi,https://pcpartpicker.com/product/Dnyqqs/creative-labs-sound-blaster-x-fi-24-bit-192-khz-sound-card-sb0670,,7.1,24,109,192,,PCI
Asus Xonar DG,https://pcpartpicker.com/product/HLGkcf/asus-sound-card-xonardg,,5.1,24,105,96,C-Media CMI8786,PCI
Diamond XtremeSound XS71,https://pcpartpicker.com/product/tqtCmG/diamond-sound-card-xs71,,7.1,16,,96,,PCI
Rosewill RC-703,https://pcpartpicker.com/product/fWg323/rosewill-sound-card-rc703,,7.1,,,44.1,,PCIe x1
HT Omega FENIX,https://pcpartpicker.com/product/crx9TW/ht-omega-sound-card-fenix,,7.1,24,,192,,PCIe x1
SIIG DP SoundWave,https://pcpartpicker.com/product/vfH48d/siig-dp-soundwave-sound-card-ic-510211-s1,,5.1,24,,,,PCIe x1
Creative Labs SB X-Fi Xtreme Audio,https://pcpartpicker.com/product/Kb3RsY/creative-labs-sound-card-70sb104000000,,7.1,24,100,96,,PCIe x1
Creative Labs Recon3D Fatal1ty Professional,https://pcpartpicker.com/product/R69KHx/creative-labs-sound-card-70sb135600000,,5.1,24,102,96,Sound Core3D,PCIe x1
Asus Xonar DS,https://pcpartpicker.com/product/Xp6BD3/asus-sound-card-xonards,,7.1,24,107,192,ASUS AV200,PCI
Asus Xonar Essence ST,https://pcpartpicker.com/product/hxw323/asus-sound-card-xonaressencest,,7.1,24,124,192,ASUS AV100,PCI
Creative Labs Sound Blaster Z OEM,https://pcpartpicker.com/product/8PR48d/creative-labs-sound-blaster-z-oem-24-bit-192-khz-sound-card-30sb150200000,,5.1,24,116,192,,PCIe x1
Syba SD-PEX63034,https://pcpartpicker.com/product/qX8Zxr/syba-sound-card-sdpex63034,,7.1,24,,48,,PCIe x1
PPA International 1431v,https://pcpartpicker.com/product/FrK7YJ/ppa-international-sound-card-1431v,,5.1,16,,,,PCI
Creative Labs Sound Blaster X-Fi Xtreme Audio,https://pcpartpicker.com/product/sBCwrH/creative-labs-sound-card-30sb079200000,,7.1,24,108,96,,PCI
HT Omega CLARO II,https://pcpartpicker.com/product/J2PfrH/ht-omega-sound-card-claroii,,7.1,24,120,192,C-Media CMI8788,PCI
Rosewill RC-701,https://pcpartpicker.com/product/HKw323/rosewill-sound-card-rc701,,5.1,,,,C-Media CMI8738,PCI
Asus Xonar D1,https://pcpartpicker.com/product/vCTmP6/asus-sound-card-xonard1,,7.1,24,116,192,ASUS AV100,PCI
StarTech PCISOUND5CH,https://pcpartpicker.com/product/h8Gkcf/startech-sound-card-pcisound5ch,,5.1,24,,48,C-Media CMI8738,PCI
Creative Labs Recon3D Fatal1ty Champion,https://pcpartpicker.com/product/bDYXsY/creative-labs-sound-card-70sb135400000,,5.1,24,102,96,Sound Core3D,PCIe x1
Turtle Beach TBS-3429,https://pcpartpicker.com/product/6ZphP6/turtle-beach-sound-card-tbs3429,,5.1,24,,48,,PCI
SIIG IC-510012-S2,https://pcpartpicker.com/product/Vyh9TW/siig-sound-card-ic510012s2,,5.1,16,68,,,PCI
SIIG IC-710012-S2,https://pcpartpicker.com/product/XNtCmG/siig-sound-card-ic710012s2,,7.1,24,92,96,,PCI
Diamond XtremeSound XS51,https://pcpartpicker.com/product/Y7V48d/diamond-sound-card-xs51,,5.1,16,,48,,PCI
Encore ENM232-6VIA,https://pcpartpicker.com/product/gHckcf/encore-sound-card-enm2326via,,5.1,24,,96,VIA VT1723,PCI
HT Omega STRIKER,https://pcpartpicker.com/product/yRckcf/ht-omega-sound-card-striker,,7.1,,,,C-Media CMI8770,PCI
Vantec UGT-S100,https://pcpartpicker.com/product/pp6BD3/vantec-sound-card-ugts100,,7.1,,,48,,PCI
StarTech PCISOUND4CH,https://pcpartpicker.com/product/JZphP6/startech-sound-card-pcisound4ch,,4,16,,48,C-Media CMI8738,PCI
Asus Xonar Essence,https://pcpartpicker.com/product/y7V48d/asus-sound-card-90yaa0e00uan00z,,7.1,24,124,192,ASUS AV100,PCI
HT Omega Claro Halo XT,https://pcpartpicker.com/product/gNtCmG/ht-omega-sound-card-clarohaloxt,,7.1,24,,192,C-Media CMI8788,PCI
Encore ENM232-8VIA,https://pcpartpicker.com/product/CkYXsY/encore-sound-card-enm2328via,,7.1,24,,96,VIA VT1723,PCI
HT Omega Claro Halo,https://pcpartpicker.com/product/nrK7YJ/ht-omega-sound-card-clarohalo,,5.1,24,,192,C-Media CMI8788,PCI
Asus Xonar DS,https://pcpartpicker.com/product/jCTmP6/asus-sound-card-90yaa0f00uan00z,,7.1,24,107,192,ASUS AV200,PCI
Rosewill RC-702,https://pcpartpicker.com/product/xjTmP6/rosewill-sound-card-rc702,,7.1,16,,96,C-Media CMI8768,PCI
M-Audio Audiophile 192,https://pcpartpicker.com/product/c7V48d/m-audio-sound-card-99005076800,,4,24,,192,,PCI
Creative Labs Sound Blaster Audigy SE OEM,https://pcpartpicker.com/product/f4zv6h/creative-labs-sound-blaster-audigy-se-oem-24-bit-96-khz-sound-card-30sb057000000,,7.1,24,100,96,,PCI
SIIG LP-000022-S2,https://pcpartpicker.com/product/QvrG3C/siig-sound-card-lp000022s2,,5.1,24,90,96,VIA VT1723,PCI
M-Audio US41500C,https://pcpartpicker.com/product/j6Gkcf/m-audio-sound-card-audiophile2496,,2,24,104,96,,PCI
