name,part_url,price,configuration,wattage,frequency_response,color
Kanto TUK,https://pcpartpicker.com/product/PyC48d/kanto-tuk-260-w-20-channel-speakers-ca-tukmb,982.99,2,260,"50,20",Black
Creative Labs Pebble 2.0,https://pcpartpicker.com/product/cwjJ7P/creative-labs-pebble-20-44w-2ch-speakers-51mf1680aa000,23.74,2,4.4,"100,17",Black
Logitech Z207 (Black),https://pcpartpicker.com/product/gvDJ7P/logitech-z207-black-001w-2ch-speakers-980-001294,73.99,2,0.01,,Black
Kanto TUK,https://pcpartpicker.com/product/JCYmP6/kanto-tuk-260-w-20-channel-speakers-ca-tukmw,899.99,2,260,"50,20",White / Black
Logitech Z906,https://pcpartpicker.com/product/3DPfrH/logitech-speakers-980000467,475.99,5.1,500,"35,20",
Creative Labs Pebble 2.0,https://pcpartpicker.com/product/fwjJ7P/creative-labs-pebble-20-44w-2ch-speakers-51mf1680aa001,30.74,2,4.4,"100,17",White
Razer Leviathan V2 X,https://pcpartpicker.com/product/qjfnTW/razer-leviathan-v2-x-65-w-20-channel-speakers-rz05-04280100-r3u1,96,2,65,"85,20",Black
SteelSeries Arena 9 EU,https://pcpartpicker.com/product/VDkH99/steelseries-arena-9-eu-51-channel-speakers-61549,961.97,5.1,,"35,20",Black
Edifier MR4,https://pcpartpicker.com/product/7Tn9TW/edifier-mr4-42-w-speakers-mr4-black,156.99,2,42,"60,20",Black
Edifier MR4,https://pcpartpicker.com/product/V788TW/edifier-mr4-42-w-speakers-mr4-white,173.99,2,42,"60,20",White
Logitech S150,https://pcpartpicker.com/product/bY3gXL/logitech-s150-24-w-speakers-980-001004,15.99,2,2.4,"90,20",Black
Logitech Z623,https://pcpartpicker.com/product/svBv6h/logitech-speakers-980000402,213.99,2.1,200,"35,20",
Klipsch R-51PM,https://pcpartpicker.com/product/sf3H99/klipsch-r-51pm-120-w-20-channel-speakers-r-51pm,534.99,2,120,"68,21",Black
Creative Labs Pebble Plus,https://pcpartpicker.com/product/bpNYcf/creative-labs-pebble-plus-8-w-21-channel-speakers-mf0480,49.99,2.1,8,"50,20",Black
AmazonBasics U213,https://pcpartpicker.com/product/q6848d/amazonbasics-u213-22-w-20-channel-speakers-u213,23.98,2,2.2,"103,20",Black
Razer Leviathan V2 Pro,https://pcpartpicker.com/product/XFJgXL/razer-leviathan-v2-pro-0-nw-51-channel-speakers-rz05-04160100-r3u1,,5.1,,"40,20",Black
SteelSeries Arena 9 US,https://pcpartpicker.com/product/7vqrxr/steelseries-arena-9-us-51-channel-speakers-61547,612.99,5.1,,"35,20",Black
Lenovo M0520,https://pcpartpicker.com/product/B7tCmG/lenovo-speakers-57y6360,15.61,2,2,"90,20",
Kanto REN,https://pcpartpicker.com/product/cHbypg/kanto-ren-200-w-speakers-renmo,699.99,2,200,"50,22",Orange
Logitech G560,https://pcpartpicker.com/product/7yqhP6/logitech-g560-0w-21ch-speakers-980-001300,308.99,2.1,120,"40,18",Black
Creative Labs Pebble Pro,https://pcpartpicker.com/product/Ps88TW/creative-labs-pebble-pro-30-w-speakers-51mf1710aa001,88.99,2,30,"80,20",Black / Copper
Redragon GS814,https://pcpartpicker.com/product/mZHp99/redragon-gs814-20-w-speakers-gs814,40.99,2,20,"20,20",Black
Sony HT-S100F Soundbar,https://pcpartpicker.com/product/NYKscf/sony-ht-s100f-soundbar-44-w-speakers-ht-s100f,128,2,44,"20,20",Black
Razer Leviathan V2,https://pcpartpicker.com/product/gG7G3C/razer-leviathan-v2-65-w-21-channel-speakers-rz05-03920100-r3u1,301.99,2.1,65,"45,20",Black
Logitech Z313,https://pcpartpicker.com/product/PzJwrH/logitech-speakers-980000382,78.99,2.1,25,"48,20",
Logitech Z407,https://pcpartpicker.com/product/yp8bt6/logitech-z407-40-w-21-channel-speakers-980-001347,133.99,2.1,40,"40,20",Black
Creative Labs Pebble V2,https://pcpartpicker.com/product/XGzFf7/creative-labs-pebble-v2-8-w-speakers-51mf1695aa000,33.24,2,8,"100,17",Black / Copper
Creative Labs Pebble V3,https://pcpartpicker.com/product/Fhnypg/creative-labs-pebble-v3-8-w-20-channel-speakers-51mf1700aa001,42.74,2,8,"100,17",Black / Copper
Kanto REN,https://pcpartpicker.com/product/shdMnQ/kanto-ren-200-w-speakers-renmw,809.99,2,200,"50,22",White
Kanto REN,https://pcpartpicker.com/product/DZjv6h/kanto-ren-200-w-speakers-renmu,788.99,2,200,"50,22",Blue
Logitech Z625,https://pcpartpicker.com/product/TjkwrH/logitech-z625-200w-21ch-speakers-980-001258,251.99,2.1,200,,
Logitech Z150,https://pcpartpicker.com/product/Byp323/logitech-speakers-980000802,36.99,2,,,
Creative Labs Stage Air V2,https://pcpartpicker.com/product/gwP8TW/creative-labs-stage-air-v2-10-w-speakers-51mf8395aa000,69.74,2,10,"80,20",Black
Creative Labs T60,https://pcpartpicker.com/product/KmWJ7P/creative-labs-t60-60-w-speakers-51mf1705aa001,117.99,2,60,"50,20",Black / Gold
Edifier R1280DB-Brown,https://pcpartpicker.com/product/GVqPxr/edifier-r1280db-brown-42-w-20-channel-speakers-r1280db-brown,233.99,2,42,"55,20",Brown / Black
Edifier G2000,https://pcpartpicker.com/product/j7gZxr/edifier-g2000-32-w-speakers-g2000-white,135.99,2,32,"98,20",White
Audioengine A5+ Black,https://pcpartpicker.com/product/CqGkcf/audioengine-a5-black-150-w-speakers-a5plus-black,493,2,150,"50,22",Black
Logitech Z533,https://pcpartpicker.com/product/hgtWGX/logitech-speakers-980001053,187.09,2.1,60,"55,20",
Creative Labs Sound Blaster GS5 RGB Soundbar,https://pcpartpicker.com/product/vDwD4D/creative-labs-sound-blaster-gs5-rgb-soundbar-60-w-speakers-mf8470,94.99,2,60,"65,20",Black
Klipsch ProMedia 2.1,https://pcpartpicker.com/product/y2vRsY/klipsch-speakers-promedia21,,2.1,120,"31,20",
Razer NOMMO CHROMA,https://pcpartpicker.com/product/FLprxr/razer-nommo-0w-2ch-speakers-rz05-02460100-r3u1,119.99,2,,"20,20",Black
AmazonBasics V620,https://pcpartpicker.com/product/gcjRsY/amazonbasics-v620-24-w-speakers-v620black,,2,2.4,"80,20",Black
Edifier G2000,https://pcpartpicker.com/product/W8sMnQ/edifier-g2000-32-w-speakers-g2000,115.99,2,32,"98,20",Black
Trust GXT 606 JAVV,https://pcpartpicker.com/product/3RtLrH/trust-gxt-606-javv-6-w-speakers-25108,121.73,2,6,"160,20",Black
Yamaha HS8,https://pcpartpicker.com/product/pp8H99/yamaha-speakers-hs8,497.99,2,120,"38,30",
Kanto REN,https://pcpartpicker.com/product/wgKnTW/kanto-ren-200-w-speakers-renmb,762.99,2,200,"50,22",Black
Edifier R1700BT,https://pcpartpicker.com/product/RXbCmG/edifier-r1700bt-66-w-20-channel-speakers-r1700bt,219.99,2,66,"60,20",Black / Brown
Logitech Z323,https://pcpartpicker.com/product/yx8Zxr/logitech-speakers-980000354,90.72,2.1,30,"55,20",
Razer Nommo V2 Pro,https://pcpartpicker.com/product/ymFmP6/razer-nommo-v2-pro-21-channel-speakers-rz05-04740100-r3u1,478.99,2.1,,"40,20",Black
Creative Labs Pebble V3,https://pcpartpicker.com/product/pwDQzy/creative-labs-pebble-v3-16-w-speakers-51mf1700aa003,56.74,2,16,"100,17",White / Copper
Edifier S351DB,https://pcpartpicker.com/product/7M62FT/edifier-s351db-150-w-21-channel-speakers-s351db,553.99,2.1,150,"40,20",Black
Yamaha NS-SP1800,https://pcpartpicker.com/product/49Crxr/yamaha-ns-sp1800-550w-51ch-speakers-ns-sp1800,,5.1,550,"28,50",
Kanto ORA4,https://pcpartpicker.com/product/4bvscf/kanto-ora4-140-w-speakers-ora4mw,343,2,140,"60,22",White
Cyber Acoustics CA-2014rb,https://pcpartpicker.com/product/mKzv6h/cyber-acoustics-speakers-ca2014rb,18.98,2,4,"85,18",
Edifier S350DB,https://pcpartpicker.com/product/r4cRsY/edifier-s350db-150-w-21-channel-speakers-s350db,459.99,2.1,150,"40,20",Black / Brown
Logitech S-150,https://pcpartpicker.com/product/hj6BD3/logitech-speakers-980000028,15.99,2,1.2,"90,20",
Edifier R1280DB-Black,https://pcpartpicker.com/product/Lfstt6/edifier-r1280db-black-42-w-20-channel-speakers-r1280db-black,229.99,2,42,"55,20",Black
Cyber Acoustics CA-3090,https://pcpartpicker.com/product/Fy6BD3/cyber-acoustics-speakers-ca3090,45.99,2.1,10,"160,20",
