name,part_url,price,interface,color
StarTech ST10GPEXNDPI,https://pcpartpicker.com/product/tqJgXL/startech-st10gpexndpi-2-x-10-gbs-ethernet-pcie-x4-network-adapter-st10gpexndpi,443.25,PCIe x4,Black / Silver
TP-Link TG-3468,https://pcpartpicker.com/product/dQmLrH/tp-link-wired-network-card-tg3468,16.99,PCIe x1,
Asus XG-C100C,https://pcpartpicker.com/product/7z4NnQ/asus-xg-c100c-network-adapter-xg-c100c,107.98,PCIe x4,
Intel X540-T2,https://pcpartpicker.com/product/BRkwrH/intel-x540-t2-2-x-10-gbs-ethernet-pcie-x8-network-adapter-x540t2,118.99,PCIe x8,
TP-Link TX201,https://pcpartpicker.com/product/y93gXL/tp-link-tx201-25-gbs-ethernet-pcie-x1-network-adapter-tx201,28.99,PCIe x1,Black / Gold
Intel X550-T2,https://pcpartpicker.com/product/cpndnQ/intel-x550-t2-network-adapter-x550-t2,176.99,PCIe x4,
TP-Link TX401,https://pcpartpicker.com/product/wzmFf7/tp-link-tx401-10-gbs-ethernet-pcie-x4-network-adapter-tx401,90.98,PCIe x4,Red
D-Link DXE-820T,https://pcpartpicker.com/product/LmgPxr/d-link-dxe-820t-network-adapter-dxe-820t,405.44,PCIe x8,
TP-Link UE306,https://pcpartpicker.com/product/bGH7YJ/tp-link-ue306-gigabit-ethernet-usb-type-a-network-adapter-ue306,11.97,USB Type-A 3.2 Gen 1,Black
Intel X710-T2L,https://pcpartpicker.com/product/FFH8TW/intel-x710-t2l-2-x-10-gbs-ethernet-pcie-x8-network-adapter-x710t2l,301.99,PCIe x8,Green / Black
StarTech ST10GSPEXNDP,https://pcpartpicker.com/product/9ttKHx/startech-st10gspexndp-2-x-10-gbs-ethernet-pcie-x8-network-adapter-st10gspexndp,,PCIe x8,Black / Silver
Intel EXPI9301CTBLK,https://pcpartpicker.com/product/xsdqqs/intel-wired-network-card-expi9301ctblk,72.04,PCIe x1,
Gigabyte GC-AQC107,https://pcpartpicker.com/product/QHx2FT/gigabyte-gc-aqc107-network-adapter-gc-aqc107,,PCIe x4,Black / White
Syba SD-PEX24066,https://pcpartpicker.com/product/ZYcG3C/syba-sd-pex24066-2-x-25-gbs-ethernet-pcie-x1-network-adapter-sd-pex24066,30.51,PCIe x1,Green / Black
StarTech ST10GSPEXNB2,https://pcpartpicker.com/product/PtcG3C/startech-st10gspexnb2-10-gbs-ethernet-pcie-x2-network-adapter-st10gspexnb2,178.99,PCIe x2,Silver / Black
Intel X540T1,https://pcpartpicker.com/product/Xy6BD3/intel-x540t1-10-gbs-ethernet-pcie-x8-network-adapter-x540t1,129,PCIe x8,Black / Green
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,https://pcpartpicker.com/product/bBCD4D/trendnet-trendnet-teg-10gectx-10-gigabit-pcie-network-adapter-pcie-x4-10-gbits-network-adapter-teg-10gectx,90.98,PCIe x4,Green / Silver
Intel E1G42ETBLK,https://pcpartpicker.com/product/2mXfrH/intel-wired-network-card-e1g42etblk,51,PCIe x4,
Asus USB-C2500,https://pcpartpicker.com/product/BXQcCJ/asus-usb-c2500-25-gbs-ethernet-usb-type-a-network-adapter-usb-c2500,29.99,USB Type-A 3.2 Gen 1,Gray
Syba SD-PEX24055,https://pcpartpicker.com/product/bXDJ7P/syba-sd-pex24055-pcie-x4-10-gbits-network-adapter-sd-pex24055,57.41,PCIe x4,Green / Black
StarTech ST10GSPEXNDP2,https://pcpartpicker.com/product/JvH7YJ/startech-st10gspexndp2-2-x-10-gbs-ethernet-pcie-x4-network-adapter-st10gspexndp2,172.99,PCIe x4,Black / Silver
Intel I226T1,https://pcpartpicker.com/product/xKGhP6/intel-i226t1-25-gbs-ethernet-pcie-x1-network-adapter-i226t1,85.99,PCIe x1,Green
Intel E1G44ET2BLK,https://pcpartpicker.com/product/VwLypg/intel-wired-network-card-e1g44et2blk,363.95,PCIe x4,
TRENDnet TEG-25GECTX,https://pcpartpicker.com/product/xxfnTW/trendnet-teg-25gectx-25-gbs-ethernet-pcie-x1-network-adapter-teg-25gectx,19.98,PCIe x1,Blue
QNAP QXG5G1T111C,https://pcpartpicker.com/product/Kgytt6/qnap-qxg5g1t111c-5-gbs-ethernet-pcie-x1-network-adapter-qxg5g1t111c,99,PCIe x1,Blue / Silver
QNAP QXG-10G1T,https://pcpartpicker.com/product/n3ndnQ/qnap-qxg-10g1t-network-adapter-qxg-10g1t,139,PCIe x4,
StarTech ST2GPEX,https://pcpartpicker.com/product/mGjNnQ/startech-st2gpex-25-gbs-ethernet-pcie-x1-network-adapter-st2gpex,48.99,PCIe x1,Black
QNAP QXG2G2TI225,https://pcpartpicker.com/product/LW92FT/qnap-qxg2g2ti225-2-x-25-gbs-ethernet-pcie-x2-network-adapter-qxg2g2ti225,101,PCIe x2,Green / Copper
Syba SY-PEX24045,https://pcpartpicker.com/product/WD97YJ/syba-sy-pex24045-pcie-x4-1000-mbits-network-adapter-sy-pex24045,69.99,PCIe x4,Green / Black
SIIG LB-GE0311-S1,https://pcpartpicker.com/product/XR2bt6/siig-lb-ge0311-s1-2-x-10-gbs-ethernet-pcie-x8-network-adapter-lb-ge0311-s1,222.44,PCIe x8,Black / Green
StarTech ST1000SPEX4,https://pcpartpicker.com/product/L2vRsY/startech-wired-network-card-st1000spex4,397.99,PCIe x4,
StarTech ST1000SPEX42,https://pcpartpicker.com/product/zVxfrH/startech-wired-network-card-st1000spex42,299,PCIe x4,
Intel EXPI9301CT,https://pcpartpicker.com/product/k94gXL/intel-wired-network-card-expi9301ct,,PCIe x1,
Syba SI-PEX24042,https://pcpartpicker.com/product/X4zkcf/syba-si-pex24042-pcie-x1-1000-mbits-network-adapter-si-pex24042,46.99,PCIe x1,Green / Black
StarTech ST10GSPEXNB,https://pcpartpicker.com/product/s2zXsY/startech-st10gspexnb-10-gbs-ethernet-pcie-x4-network-adapter-st10gspexnb,241.95,PCIe x4,Black
Intel EXPI9404PTLBLK-1PK,https://pcpartpicker.com/product/v3Lypg/intel-wired-network-card-expi9404ptlblk1pk,,PCIe x4,
Monoprice 112909,https://pcpartpicker.com/product/sYytt6/monoprice-112909-gigabit-ethernet-usb-type-c-network-adapter-112909,13.99,USB Type-C 3.2 Gen 2,White
Plugable USBC-E1000,https://pcpartpicker.com/product/yhzZxr/plugable-usbc-e1000-usb-type-c-1-gbits-network-adapter-usbc-e1000,19.95,USB Type-C 3.2 Gen 1,
Intel X520-T2,https://pcpartpicker.com/product/hdyV3C/intel-x520-t2-pcie-x8-10-gbits-network-adapter-x520-t2,,PCIe x8,Green / Black
Intel E1G44HTBLK,https://pcpartpicker.com/product/4sdqqs/intel-wired-network-card-e1g44htblk,144,PCIe x4,
StarTech ST1000SPEX2L,https://pcpartpicker.com/product/kFQypg/startech-wired-network-card-st1000spex2l,22.77,PCIe x1,
TP-Link UE300,https://pcpartpicker.com/product/3p8H99/tp-link-ue300-network-adapter-ue300,9.98,USB Type-A 3.2 Gen 1,
StarTech ST2000PEXPSE,https://pcpartpicker.com/product/cqCwrH/startech-wired-network-card-st2000pexpse,165.99,PCIe x1,
Intel EXPI9404PTLBLK,https://pcpartpicker.com/product/C6Gkcf/intel-wired-network-card-expi9404ptlblk,,PCIe x4,
