name,part_url,price,protocol,interface,color
Gigabyte GC-WBAX210,https://pcpartpicker.com/product/nRM48d/gigabyte-gc-wbax210-80211abgnacax-pcie-x1-wi-fi-adapter-gc-wbax210,25.01,Wi-Fi 6E,PCIe x1,Black / Silver
TP-Link Archer TBE550E,https://pcpartpicker.com/product/wJ7MnQ/tp-link-archer-tbe550e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-tbe550e,97.98,Wi-Fi 7,PCIe x1,Black
TP-Link Archer TX3000E,https://pcpartpicker.com/product/dBFKHx/tp-link-archer-tx3000e-pcie-x1-80211abgnacax-wi-fi-adapter-archer-tx3000e,34.37,Wi-Fi 6,PCIe x1,Red / Black
TP-Link ArcherTX20E,https://pcpartpicker.com/product/LW9wrH/tp-link-archertx20e-80211abgnacax-pcie-x1-wi-fi-adapter-archertx20e,28.98,Wi-Fi 6,PCIe x1,Black
Belkin AE6000,https://pcpartpicker.com/product/NRBrxr/belkin-ae6000-usb-20-80211abgnac-wi-fi-adapter-ae6000,,Wi-Fi 5,USB Type-A 2.0,
TP-Link Archer T9UH,https://pcpartpicker.com/product/8hfhP6/tp-link-archer-t9uh-usb-30-wi-fi-adapter-archer-t9uh,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link Archer TX55E,https://pcpartpicker.com/product/CTcG3C/tp-link-archer-tx55e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-tx55e,31.53,Wi-Fi 6,PCIe x1,
TP-Link ARCHER T2U PLUS,https://pcpartpicker.com/product/3YndnQ/tp-link-archer-t2u-plus-usb-20-wi-fi-adapter-archer-t2u-plus,13.71,Wi-Fi 5,USB Type-A 2.0,Black
Asus USB-N53,https://pcpartpicker.com/product/G9kD4D/asus-wireless-network-card-usbn53,156.99,Wi-Fi 4,USB Type-A 2.0,
MSI HERALD-BE WIFI 7 MAX,https://pcpartpicker.com/product/nvHqqs/msi-herald-be-wifi-7-max-80211abgnacax-pcie-x1-wi-fi-adapter-herald-be-wifi-7-max,58.99,Wi-Fi 7,PCIe x1,Black
Intel AX210,https://pcpartpicker.com/product/4nkWGX/intel-ax210-80211abgnacax-m2-wi-fi-adapter-ax210ngwgnv,24.98,Wi-Fi 6E,M.2 PCIe,Green
TP-Link TL-WN725N,https://pcpartpicker.com/product/wQmLrH/tp-link-wireless-network-card-tlwn725n,15.41,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AX1800,https://pcpartpicker.com/product/6MjBD3/asus-pce-ax1800-80211abgnacax-pcie-x1-wi-fi-adapter-pce-ax1800,33.99,Wi-Fi 6,PCIe x1,Black
TP-Link Archer TBE400E,https://pcpartpicker.com/product/ZxPv6h/tp-link-archer-tbe400e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-tbe400e,53.99,Wi-Fi 7,PCIe x1,Black / Gold
TP-Link TL-WN881ND,https://pcpartpicker.com/product/Chh9TW/tp-link-wireless-network-card-tlwn881nd,22.99,Wi-Fi 4,PCIe x1,
D-Link DWA-180,https://pcpartpicker.com/product/xQphP6/d-link-wireless-network-card-dwa180,,Wi-Fi 5,USB Type-A 2.0,
StarTech USB150WN1X1,https://pcpartpicker.com/product/994gXL/startech-wireless-network-card-usb150wn1x1,9.5,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T3U Plus,https://pcpartpicker.com/product/wsTzK8/tp-link-archer-t3u-plus-80211abgnac-usb-type-a-wi-fi-adapter-archer-t3u-plus,17.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Ziyituod ZYT-AX210S,https://pcpartpicker.com/product/NQ8bt6/ziyituod-zyt-ax210s-80211abgnacax-pcie-x1-wi-fi-adapter-zyt-ax210s,24.99,Wi-Fi 6E,PCIe x1,Red
TP-Link Archer TXE72E,https://pcpartpicker.com/product/MJLFf7/tp-link-archer-txe72e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-txe72e,49.97,Wi-Fi 6E,PCIe x1,
Asus PCE-AX3000,https://pcpartpicker.com/product/VT2bt6/asus-pce-ax3000-pcie-x1-80211abgnacax-wi-fi-adapter-pce-ax3000,53.99,Wi-Fi 6,PCIe x1,Black
Netgear WNA3100M-100ENS,https://pcpartpicker.com/product/YdyFf7/netgear-wireless-network-card-wna3100m100ens,,Wi-Fi 4,USB Type-A 2.0,
